question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes.,1.313,7234.4
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes.,0.389,7235.6
3,close_distance_trash10.jpg,trash,yes,yes,Yes.,0.327,7235.6
4,close_distance_trash10.jpg,plastic bottle,no,no,No,0.276,7235.6
5,close_distance_trash10.jpg,plastic bag,no,yes,Yes.,0.316,7235.6
6,close_distance_trash10.jpg,can,no,yes,Yes.,0.282,7235.6
7,close_distance_trash10.jpg,glass,no,no,No,0.248,7235.6
8,close_distance_trash10.jpg,metal scrap,no,no,No.,0.392,7235.6
9,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes.,0.659,7555.9
10,close_distance_trash1006.jpg,trash pile,yes,yes,Yes.,0.615,7555.0
11,close_distance_trash1006.jpg,trash,no,yes,Yes.,0.638,7552.7
12,close_distance_trash1006.jpg,plastic bottle,no,yes,Yes.,0.598,7555.0
13,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes.,0.559,7555.0
14,close_distance_trash1006.jpg,can,no,no,No.,0.577,7552.7
15,close_distance_trash1006.jpg,glass,no,no,No.,0.596,7552.7
16,close_distance_trash1006.jpg,metal scrap,no,no,No.,0.562,7555.0
17,close_distance_trash101.jpg,glass,yes,no,no,0.245,7248.5
18,close_distance_trash101.jpg,trash,no,yes,Yes.,0.293,7248.5
19,close_distance_trash101.jpg,plastic bottle,no,no,No,0.252,7248.5
20,close_distance_trash101.jpg,plastic wrapper,no,yes,yes,0.261,7248.5
21,close_distance_trash101.jpg,plastic bag,no,no,no,0.241,7248.5
22,close_distance_trash101.jpg,can,no,no,no,0.252,7248.5
23,close_distance_trash101.jpg,trash pile,no,no,No,0.229,7248.5
24,close_distance_trash101.jpg,metal scrap,no,yes,Yes.,0.296,7248.5
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes.,9.705,22993.9
26,close_distance_trash1019.jpg,trash,no,yes,Yes.,9.358,22991.0
27,close_distance_trash1019.jpg,plastic wrapper,no,no,No,9.411,22993.9
28,close_distance_trash1019.jpg,plastic bag,no,no,No,9.436,22993.9
29,close_distance_trash1019.jpg,can,no,no,No,9.395,22991.0
30,close_distance_trash1019.jpg,trash pile,no,no,No.,9.507,22993.9
31,close_distance_trash1019.jpg,glass,no,no,No.,9.415,22991.0
32,close_distance_trash1019.jpg,metal scrap,no,no,No.,9.388,22993.9
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes.,0.327,7248.5
34,close_distance_trash102.jpg,trash,yes,yes,Yes.,0.305,7248.5
35,close_distance_trash102.jpg,plastic bottle,no,no,No,0.238,7248.5
36,close_distance_trash102.jpg,plastic bag,no,no,No,0.229,7248.5
37,close_distance_trash102.jpg,can,no,no,No,0.249,7248.5
38,close_distance_trash102.jpg,trash pile,no,no,No.,0.275,7248.5
39,close_distance_trash102.jpg,glass,no,no,No,0.24,7248.5
40,close_distance_trash102.jpg,metal scrap,no,no,No,0.226,7248.5
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes.,0.3,7276.4
42,close_distance_trash1022.jpg,trash pile,yes,yes,Yes.,0.3,7276.4
43,close_distance_trash1022.jpg,trash,yes,yes,Yes.,0.298,7276.4
44,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes.,0.332,7276.4
45,close_distance_trash1022.jpg,plastic bag,no,yes,Yes.,0.339,7276.4
46,close_distance_trash1022.jpg,can,no,yes,Yes.,0.291,7276.4
47,close_distance_trash1022.jpg,glass,no,no,No.,0.295,7276.4
48,close_distance_trash1022.jpg,metal scrap,no,no,No.,0.308,7276.4
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes.,0.277,7276.4
50,close_distance_trash1031.jpg,plastic bag,yes,yes,Yes.,0.296,7276.4
51,close_distance_trash1031.jpg,trash,no,yes,Yes.,0.299,7276.4
52,close_distance_trash1031.jpg,plastic wrapper,no,yes,Yes.,0.305,7276.4
53,close_distance_trash1031.jpg,can,no,no,No.,0.291,7276.4
54,close_distance_trash1031.jpg,trash pile,no,no,No,0.268,7276.4
55,close_distance_trash1031.jpg,glass,no,no,No,0.248,7276.4
56,close_distance_trash1031.jpg,metal scrap,no,no,No,0.264,7276.4
57,close_distance_trash104.jpg,plastic bag,yes,yes,Yes.,0.284,7248.5
58,close_distance_trash104.jpg,trash,no,yes,Yes.,0.302,7248.5
59,close_distance_trash104.jpg,plastic bottle,no,no,No,0.255,7248.5
60,close_distance_trash104.jpg,plastic wrapper,no,yes,Yes.,0.274,7248.5
61,close_distance_trash104.jpg,can,no,no,No,0.231,7248.5
62,close_distance_trash104.jpg,trash pile,no,yes,Yes.,0.278,7248.5
63,close_distance_trash104.jpg,glass,no,no,No,0.236,7248.5
64,close_distance_trash104.jpg,metal scrap,no,no,No,0.225,7248.5
65,close_distance_trash1047.jpg,can,yes,yes,Yes.,0.282,7276.4
66,close_distance_trash1047.jpg,trash,no,yes,Yes.,0.303,7276.4
67,close_distance_trash1047.jpg,plastic bottle,no,yes,Yes.,0.304,7276.4
68,close_distance_trash1047.jpg,plastic wrapper,no,yes,Yes.,0.303,7276.4
69,close_distance_trash1047.jpg,plastic bag,no,yes,Yes.,0.323,7276.4
70,close_distance_trash1047.jpg,trash pile,no,no,No.,0.314,7276.4
71,close_distance_trash1047.jpg,glass,no,no,No.,0.285,7276.4
72,close_distance_trash1047.jpg,metal scrap,no,no,No.,0.329,7276.4
73,close_distance_trash105.jpg,plastic bottle,yes,yes,Yes.,0.283,7248.5
74,close_distance_trash105.jpg,trash,no,no,No.,0.292,7248.5
75,close_distance_trash105.jpg,plastic wrapper,no,no,No.,0.293,7248.5
76,close_distance_trash105.jpg,plastic bag,no,no,No.,0.282,7248.5
77,close_distance_trash105.jpg,can,no,no,No.,0.286,7248.5
78,close_distance_trash105.jpg,trash pile,no,no,No.,0.284,7248.5
79,close_distance_trash105.jpg,glass,no,no,No.,0.282,7248.5
80,close_distance_trash105.jpg,metal scrap,no,yes,Yes.,0.309,7248.5
81,close_distance_trash106.jpg,plastic bag,yes,yes,Yes.,0.318,7248.5
82,close_distance_trash106.jpg,trash,no,yes,Yes.,0.301,7248.5
83,close_distance_trash106.jpg,plastic bottle,no,yes,Yes.,0.284,7248.5
84,close_distance_trash106.jpg,plastic wrapper,no,yes,Yes.,0.298,7248.5
85,close_distance_trash106.jpg,can,no,no,No,0.245,7248.5
86,close_distance_trash106.jpg,trash pile,no,no,No,0.229,7248.5
87,close_distance_trash106.jpg,glass,no,no,no,0.232,7248.5
88,close_distance_trash106.jpg,metal scrap,no,no,No,0.232,7248.5
89,close_distance_trash1062.jpg,plastic bottle,yes,yes,Yes.,0.278,7276.4
90,close_distance_trash1062.jpg,trash pile,yes,yes,Yes.,0.294,7276.4
91,close_distance_trash1062.jpg,trash,no,yes,Yes.,0.305,7276.4
92,close_distance_trash1062.jpg,plastic wrapper,no,no,No,0.26,7276.4
93,close_distance_trash1062.jpg,plastic bag,no,yes,Yes.,0.28,7276.4
94,close_distance_trash1062.jpg,can,no,no,No,0.252,7276.4
95,close_distance_trash1062.jpg,glass,no,no,No,0.244,7276.4
96,close_distance_trash1062.jpg,metal scrap,no,no,No,0.238,7276.4
97,close_distance_trash1097.jpg,plastic bottle,yes,yes,Yes.,0.287,7276.4
98,close_distance_trash1097.jpg,trash,no,yes,Yes.,0.308,7276.4
99,close_distance_trash1097.jpg,plastic wrapper,no,no,No.,0.303,7276.4
100,close_distance_trash1097.jpg,plastic bag,no,no,No.,0.298,7276.4
101,close_distance_trash1097.jpg,can,no,no,No.,0.284,7276.4
102,close_distance_trash1097.jpg,trash pile,no,no,No.,0.309,7276.4
103,close_distance_trash1097.jpg,glass,no,no,No.,0.304,7276.4
104,close_distance_trash1097.jpg,metal scrap,no,no,No.,0.305,7276.4
105,close_distance_trash11.jpg,trash pile,yes,yes,Yes.,0.289,7236.5
106,close_distance_trash11.jpg,trash,no,yes,Yes.,0.264,7236.5
107,close_distance_trash11.jpg,plastic bottle,no,yes,Yes.,0.248,7236.5
108,close_distance_trash11.jpg,plastic wrapper,no,yes,Yes.,0.273,7236.5
109,close_distance_trash11.jpg,plastic bag,no,yes,Yes.,0.269,7236.5
110,close_distance_trash11.jpg,can,no,yes,Yes.,0.284,7236.5
111,close_distance_trash11.jpg,glass,no,no,No.,0.288,7236.5
112,close_distance_trash11.jpg,metal scrap,no,no,No.,0.296,7236.5
113,close_distance_trash1100.jpg,plastic bag,yes,yes,Yes.,0.295,7276.4
114,close_distance_trash1100.jpg,trash,no,yes,Yes.,0.304,7276.4
115,close_distance_trash1100.jpg,plastic bottle,no,no,No.,0.3,7276.4
116,close_distance_trash1100.jpg,plastic wrapper,no,yes,Yes.,0.292,7276.4
117,close_distance_trash1100.jpg,can,no,no,No.,0.3,7276.4
118,close_distance_trash1100.jpg,trash pile,no,no,No.,0.308,7276.4
119,close_distance_trash1100.jpg,glass,no,no,No.,0.29,7276.4
120,close_distance_trash1100.jpg,metal scrap,no,no,No.,0.32,7276.4
121,close_distance_trash1109.jpg,trash pile,yes,no,No.,0.608,7629.9
122,close_distance_trash1109.jpg,trash,yes,yes,Yes.,0.616,7629.4
123,close_distance_trash1109.jpg,plastic bottle,no,yes,Yes.,0.616,7629.9
124,close_distance_trash1109.jpg,plastic wrapper,no,yes,Yes.,0.612,7629.9
125,close_distance_trash1109.jpg,plastic bag,no,yes,Yes.,0.603,7629.9
126,close_distance_trash1109.jpg,can,no,no,No.,0.626,7629.4
127,close_distance_trash1109.jpg,glass,no,yes,Yes.,0.618,7629.4
128,close_distance_trash1109.jpg,metal scrap,no,no,No.,0.603,7629.9
129,close_distance_trash1122.jpg,trash,yes,yes,Yes.,2.172,9921.7
130,close_distance_trash1122.jpg,plastic bottle,no,yes,Yes.,2.21,9922.9
131,close_distance_trash1122.jpg,plastic wrapper,no,yes,Yes.,2.199,9922.9
132,close_distance_trash1122.jpg,plastic bag,no,yes,Yes.,2.145,9922.9
133,close_distance_trash1122.jpg,can,no,no,No.,2.14,9921.7
134,close_distance_trash1122.jpg,trash pile,no,no,No.,2.159,9922.9
135,close_distance_trash1122.jpg,glass,no,no,No.,2.175,9921.7
136,close_distance_trash1122.jpg,metal scrap,no,no,No.,2.166,9922.9
137,close_distance_trash1126.jpg,glass,yes,yes,Yes.,0.321,7276.4
138,close_distance_trash1126.jpg,trash,no,yes,Yes.,0.308,7276.4
139,close_distance_trash1126.jpg,plastic bottle,no,no,No.,0.308,7276.4
140,close_distance_trash1126.jpg,plastic wrapper,no,no,No.,0.336,7276.4
141,close_distance_trash1126.jpg,plastic bag,no,no,No.,0.345,7276.4
142,close_distance_trash1126.jpg,can,no,no,No.,0.338,7276.4
143,close_distance_trash1126.jpg,trash pile,no,no,No.,0.366,7276.4
144,close_distance_trash1126.jpg,metal scrap,no,no,No.,0.329,7276.4
145,close_distance_trash1129.jpg,plastic bottle,yes,yes,Yes.,0.328,7276.4
146,close_distance_trash1129.jpg,trash pile,yes,yes,Yes.,0.316,7276.4
147,close_distance_trash1129.jpg,trash,yes,yes,Yes.,0.305,7276.4
148,close_distance_trash1129.jpg,plastic wrapper,no,no,No,0.271,7276.4
149,close_distance_trash1129.jpg,plastic bag,no,yes,Yes.,0.288,7276.4
150,close_distance_trash1129.jpg,can,no,no,No,0.272,7276.4
151,close_distance_trash1129.jpg,glass,no,no,No,0.245,7276.4
152,close_distance_trash1129.jpg,metal scrap,no,no,No,0.244,7276.4
153,close_distance_trash113.jpg,plastic bag,yes,yes,Yes.,0.275,7248.5
154,close_distance_trash113.jpg,trash,no,yes,Yes.,0.3,7248.5
155,close_distance_trash113.jpg,plastic bottle,no,no,no,0.243,7248.5
156,close_distance_trash113.jpg,plastic wrapper,no,no,no,0.235,7248.5
157,close_distance_trash113.jpg,can,no,yes,Yes.,0.286,7248.5
158,close_distance_trash113.jpg,trash pile,no,no,No.,0.292,7248.5
159,close_distance_trash113.jpg,glass,no,no,No,0.265,7248.5
160,close_distance_trash113.jpg,metal scrap,no,yes,Yes.,0.276,7248.5
161,close_distance_trash1136.jpg,plastic bag,yes,yes,Yes.,0.341,7276.4
162,close_distance_trash1136.jpg,trash,no,yes,Yes.,0.3,7276.4
163,close_distance_trash1136.jpg,plastic bottle,no,no,No.,0.3,7276.4
164,close_distance_trash1136.jpg,plastic wrapper,no,yes,Yes.,0.295,7276.4
165,close_distance_trash1136.jpg,can,no,yes,Yes.,0.313,7276.4
166,close_distance_trash1136.jpg,trash pile,no,no,No.,0.3,7276.4
167,close_distance_trash1136.jpg,glass,no,no,No.,0.304,7276.4
168,close_distance_trash1136.jpg,metal scrap,no,yes,Yes.,0.301,7276.4
169,close_distance_trash1137.jpg,plastic bottle,yes,yes,Yes.,0.305,7276.4
170,close_distance_trash1137.jpg,can,yes,yes,Yes.,0.331,7276.4
171,close_distance_trash1137.jpg,trash pile,yes,yes,Yes.,0.312,7276.4
172,close_distance_trash1137.jpg,trash,yes,yes,Yes.,0.31,7276.4
173,close_distance_trash1137.jpg,plastic wrapper,no,yes,Yes.,0.283,7276.4
174,close_distance_trash1137.jpg,plastic bag,no,yes,Yes.,0.35,7276.4
175,close_distance_trash1137.jpg,glass,no,no,No,0.248,7276.4
176,close_distance_trash1137.jpg,metal scrap,no,no,No.,0.289,7276.4
177,close_distance_trash1139.jpg,plastic bottle,yes,yes,Yes.,0.322,7276.4
178,close_distance_trash1139.jpg,trash,no,yes,Yes.,0.305,7276.4
179,close_distance_trash1139.jpg,plastic wrapper,no,no,No,0.267,7276.4
180,close_distance_trash1139.jpg,plastic bag,no,no,No.,0.328,7276.4
181,close_distance_trash1139.jpg,can,no,no,No.,0.318,7276.4
182,close_distance_trash1139.jpg,trash pile,no,no,No.,0.344,7276.4
183,close_distance_trash1139.jpg,glass,no,no,No.,0.299,7276.4
184,close_distance_trash1139.jpg,metal scrap,no,no,No.,0.299,7276.4
185,close_distance_trash1150.jpg,plastic wrapper,yes,yes,Yes.,0.307,7276.4
186,close_distance_trash1150.jpg,trash,no,no,No.,0.3,7276.4
187,close_distance_trash1150.jpg,plastic bottle,no,no,No.,0.309,7276.4
188,close_distance_trash1150.jpg,plastic bag,no,no,No.,0.315,7276.4
189,close_distance_trash1150.jpg,can,no,no,No.,0.285,7276.4
190,close_distance_trash1150.jpg,trash pile,no,no,No.,0.302,7276.4
191,close_distance_trash1150.jpg,glass,no,no,No.,0.311,7276.4
192,close_distance_trash1150.jpg,metal scrap,no,no,No.,0.341,7276.4
193,close_distance_trash116.jpg,plastic bottle,yes,yes,Yes.,0.278,7248.5
194,close_distance_trash116.jpg,trash,yes,yes,Yes.,0.284,7248.5
195,close_distance_trash116.jpg,plastic wrapper,no,yes,Yes.,0.297,7248.5
196,close_distance_trash116.jpg,plastic bag,no,yes,Yes.,0.298,7248.5
197,close_distance_trash116.jpg,can,no,no,No.,0.28,7248.5
198,close_distance_trash116.jpg,trash pile,no,yes,Yes.,0.289,7248.5
