timestamp,image,model,variant,prompt,response,garbage_detected,classes_detected,inference_s,vram_mb
2026-04-22T12:06:48,close_distance_trash11.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",DETECTED: trash pile,True,"trash pile, trash",1.127,4668.9
2026-04-22T12:06:48,close_distance_trash12.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can",True,"plastic bottle, can",0.736,4668.9
2026-04-22T12:06:49,close_distance_trash1286.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can",True,"plastic bottle, can",0.799,4668.9
2026-04-22T12:06:50,close_distance_trash1287.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.,True,"plastic bottle, can",1.13,4668.9
2026-04-22T12:06:51,close_distance_trash1288.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",True,"plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",1.067,4668.9
2026-04-22T12:06:52,close_distance_trash1289.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bag, plastic wrapper, trash pile, trash",True,"plastic bag, plastic wrapper, trash pile, trash",0.923,4669.2
2026-04-22T12:06:53,close_distance_trash1290.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: paper, plastic bag, plastic wrapper, trash",True,"plastic bag, plastic wrapper, trash",0.899,4668.9
2026-04-22T12:06:54,close_distance_trash1291.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a bottle of soda on the ground.,False,,0.848,4668.9
2026-04-22T12:06:55,close_distance_trash1292.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",DETECTED: plastic bottle,True,plastic bottle,0.657,4669.2
2026-04-22T12:06:55,close_distance_trash1293.jpg,smolvlm,HuggingFaceTB/SmolVLM-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can",True,"plastic bottle, can",0.78,4669.2
