timestamp,image,model,variant,prompt,response,garbage_detected,classes_detected,inference_s,vram_mb
2026-04-22T12:29:13,close_distance_trash11.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can

CLEAN",True,"plastic bottle, can",1.223,4229.6
2026-04-22T12:29:14,close_distance_trash12.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",True,"plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",1.011,4293.1
2026-04-22T12:29:15,close_distance_trash1286.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can

CLEAN

The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, trash pile, trash",True,"plastic bottle, trash pile, trash",1.774,4244.7
2026-04-22T12:29:16,close_distance_trash1287.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, trash pile, trash
CLEAN",True,"plastic bottle, trash pile, trash",0.906,4244.7
2026-04-22T12:29:17,close_distance_trash1288.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, trash pile, trash
CLEAN",True,"plastic bottle, trash pile, trash",0.848,4244.7
2026-04-22T12:29:18,close_distance_trash1289.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash
CLEAN",True,"plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",1.072,4244.7
2026-04-22T12:29:20,close_distance_trash1290.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can

The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
CLEAN",True,"plastic bottle, can",1.339,4244.7
2026-04-22T12:29:21,close_distance_trash1291.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, glass, can, plastic bag, plastic wrapper, trash
CLEAN",True,"plastic bottle, glass, can, plastic bag, plastic wrapper, trash",1.026,4244.7
2026-04-22T12:29:22,close_distance_trash1292.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, glass, can, plastic bag, plastic wrapper, trash
CLEAN",True,"plastic bottle, glass, can, plastic bag, plastic wrapper, trash",0.971,4229.6
2026-04-22T12:29:23,close_distance_trash1293.jpg,moondream,vikhyatk/moondream2,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","DETECTED: plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash
CLEAN",True,"plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",0.998,4229.6
