question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes.,0.563,1324.7
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes.,0.606,1324.7
3,close_distance_trash10.jpg,trash,yes,yes,Yes.,0.56,1324.7
4,close_distance_trash10.jpg,plastic bottle,no,yes,Yes.,0.637,1324.7
5,close_distance_trash10.jpg,plastic bag,no,yes,Yes.,0.601,1324.7
6,close_distance_trash10.jpg,can,no,no,No.,0.605,1324.7
7,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes.,0.638,1324.7
8,close_distance_trash1006.jpg,trash pile,yes,yes,Yes.,0.614,1324.7
9,close_distance_trash1006.jpg,trash,no,yes,Yes.,0.604,1324.7
10,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes.,0.58,1324.7
11,close_distance_trash101.jpg,glass,yes,yes,Yes.,0.564,1324.7
12,close_distance_trash101.jpg,trash,no,no,No.,0.579,1324.7
13,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes.,0.703,1324.7
14,close_distance_trash1019.jpg,trash,no,yes,Yes.,0.673,1324.7
15,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes.,0.58,1325.3
16,close_distance_trash102.jpg,trash,yes,no,No.,0.57,1324.7
17,close_distance_trash102.jpg,plastic bottle,no,no,No.,0.539,1325.3
18,close_distance_trash102.jpg,plastic bag,no,no,No.,0.603,1325.3
19,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes.,0.763,1428.8
20,close_distance_trash1022.jpg,trash pile,yes,yes,Yes.,0.782,1428.8
21,close_distance_trash1022.jpg,trash,yes,yes,Yes.,0.836,1428.8
22,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes.,0.834,1428.8
23,close_distance_trash1022.jpg,plastic bag,no,no,No.,0.721,1428.8
24,close_distance_trash1022.jpg,can,no,no,No.,0.75,1428.8
25,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes.,0.766,1428.8
26,close_distance_trash1031.jpg,plastic bag,yes,yes,Yes.,0.761,1428.8
27,close_distance_trash1031.jpg,trash,no,yes,Yes.,0.789,1428.8
28,close_distance_trash1031.jpg,trash pile,no,yes,Yes.,0.742,1428.8
29,close_distance_trash104.jpg,plastic bag,yes,yes,Yes.,0.591,1325.3
30,close_distance_trash104.jpg,trash,no,yes,Yes.,0.58,1324.7
31,close_distance_trash1047.jpg,can,yes,no,No.,0.755,1428.8
32,close_distance_trash1047.jpg,trash,no,yes,Yes.,0.759,1428.8
33,close_distance_trash105.jpg,plastic bottle,yes,no,No.,0.571,1325.3
34,close_distance_trash105.jpg,trash,no,no,No.,0.559,1324.7
35,close_distance_trash106.jpg,plastic bag,yes,yes,Yes.,0.57,1324.7
36,close_distance_trash106.jpg,trash,no,yes,Yes.,0.575,1324.7
37,close_distance_trash1062.jpg,plastic bottle,yes,yes,Yes.,0.758,1428.8
38,close_distance_trash1062.jpg,trash pile,yes,yes,Yes.,0.76,1428.8
39,close_distance_trash1062.jpg,trash,no,yes,Yes.,0.741,1428.8
40,close_distance_trash1062.jpg,plastic wrapper,no,yes,Yes.,0.744,1428.8
41,close_distance_trash1097.jpg,plastic bottle,yes,yes,Yes.,0.732,1428.8
42,close_distance_trash1097.jpg,trash,no,yes,Yes.,0.744,1428.8
43,close_distance_trash11.jpg,trash pile,yes,yes,Yes.,0.64,1324.7
44,close_distance_trash11.jpg,trash,no,yes,Yes.,0.573,1324.7
45,close_distance_trash1100.jpg,plastic bag,yes,yes,Yes.,0.772,1428.8
