question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes.,0.798,4636.1
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes.,0.333,4636.6
3,close_distance_trash10.jpg,trash,yes,yes,Yes.,0.364,4636.3
4,close_distance_trash10.jpg,plastic bottle,no,no,No.,0.371,4636.6
5,close_distance_trash10.jpg,plastic bag,no,yes,Yes.,0.346,4636.6
6,close_distance_trash10.jpg,can,no,no,No.,0.348,4636.3
7,close_distance_trash10.jpg,glass,no,no,No.,0.35,4636.3
8,close_distance_trash10.jpg,metal scrap,no,no,No.,0.342,4636.6
9,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes.,0.379,4636.6
10,close_distance_trash1006.jpg,trash pile,yes,yes,Yes.,0.373,4636.6
11,close_distance_trash1006.jpg,trash,no,yes,Yes.,0.38,4636.3
12,close_distance_trash1006.jpg,plastic bottle,no,no,No.,0.373,4636.6
13,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes.,0.369,4636.6
14,close_distance_trash1006.jpg,can,no,no,No.,0.366,4636.3
15,close_distance_trash1006.jpg,glass,no,no,No.,0.365,4636.3
16,close_distance_trash1006.jpg,metal scrap,no,no,No.,0.408,4636.6
17,close_distance_trash101.jpg,glass,yes,yes,Yes.,0.421,4636.6
18,close_distance_trash101.jpg,trash,no,no,No.,0.346,4636.6
19,close_distance_trash101.jpg,plastic bottle,no,no,No.,0.345,4636.8
20,close_distance_trash101.jpg,plastic wrapper,no,no,No.,0.373,4636.8
21,close_distance_trash101.jpg,plastic bag,no,no,No.,0.36,4636.8
22,close_distance_trash101.jpg,can,no,no,No.,0.335,4636.6
23,close_distance_trash101.jpg,trash pile,no,no,No.,0.341,4636.8
24,close_distance_trash101.jpg,metal scrap,no,yes,Yes.,0.335,4636.8
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes.,0.461,4636.6
26,close_distance_trash1019.jpg,trash,no,yes,Yes.,0.508,4636.3
27,close_distance_trash1019.jpg,plastic wrapper,no,no,No.,0.586,4636.6
28,close_distance_trash1019.jpg,plastic bag,no,no,No.,0.576,4636.6
29,close_distance_trash1019.jpg,can,no,no,No.,0.527,4636.3
30,close_distance_trash1019.jpg,trash pile,no,no,No.,0.528,4636.6
31,close_distance_trash1019.jpg,glass,no,no,No.,0.564,4636.3
32,close_distance_trash1019.jpg,metal scrap,no,no,No.,0.518,4636.6
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes.,0.375,4636.8
34,close_distance_trash102.jpg,trash,yes,no,No.,0.336,4636.6
35,close_distance_trash102.jpg,plastic bottle,no,no,No.,0.358,4636.8
36,close_distance_trash102.jpg,plastic bag,no,no,No.,0.324,4636.8
37,close_distance_trash102.jpg,can,no,no,No.,0.32,4636.6
38,close_distance_trash102.jpg,trash pile,no,no,No.,0.331,4636.8
39,close_distance_trash102.jpg,glass,no,no,No.,0.336,4636.6
40,close_distance_trash102.jpg,metal scrap,no,no,No.,0.349,4636.8
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes.,0.472,4740.8
42,close_distance_trash1022.jpg,trash pile,yes,yes,Yes.,0.446,4740.8
43,close_distance_trash1022.jpg,trash,yes,yes,Yes.,0.453,4740.5
44,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes.,0.443,4740.8
45,close_distance_trash1022.jpg,plastic bag,no,no,No.,0.461,4740.8
46,close_distance_trash1022.jpg,can,no,no,No.,0.454,4740.5
47,close_distance_trash1022.jpg,glass,no,no,No.,0.507,4740.5
48,close_distance_trash1022.jpg,metal scrap,no,yes,Yes.,0.441,4740.8
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes.,0.431,4740.8
50,close_distance_trash1031.jpg,plastic bag,yes,yes,Yes.,0.434,4740.8
51,close_distance_trash1031.jpg,trash,no,yes,Yes.,0.441,4740.5
52,close_distance_trash1031.jpg,plastic wrapper,no,yes,Yes.,0.411,4740.8
53,close_distance_trash1031.jpg,can,no,no,No.,0.41,4740.5
54,close_distance_trash1031.jpg,trash pile,no,yes,Yes.,0.445,4740.8
55,close_distance_trash1031.jpg,glass,no,no,No.,0.418,4740.5
56,close_distance_trash1031.jpg,metal scrap,no,no,No.,0.444,4740.8
57,close_distance_trash104.jpg,plastic bag,yes,yes,Yes.,0.327,4636.8
58,close_distance_trash104.jpg,trash,no,yes,Yes.,0.352,4636.6
