question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,no,0.627,4259.6
2,close_distance_trash191.jpg,polystyrene,no,no,0.45,4259.6
3,far_distance_trash18.jpg,metal,yes,yes,0.473,4257.0
4,marine_litter_427.jpg,polystyrene,yes,yes,0.579,4291.4
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,no,3.928,5224.6
6,marine_litter_340.jpg,polystyrene,yes,yes,0.201,4291.4
7,hn_anfi_harbour_view_23.jpg,container,no,no,0.587,5230.1
8,far_distance_trash236.jpg,container,no,no,0.19,4259.6
9,marine_litter_367.jpg,plastic,yes,yes,0.163,4288.7
10,marine_litter_25.jpg,metal,no,no,0.163,4288.3
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,no,0.586,5232.9
12,medium_distance_trash914.jpg,container,no,no,5.156,14434.9
13,medium_distance_trash484.jpg,metal,no,no,0.184,4257.0
14,medium_distance_trash260.jpg,metal,yes,yes,0.158,4257.0
15,marine_litter_333.jpg,plastic,yes,yes,0.168,4288.7
16,medium_distance_trash673.jpg,trash,yes,yes,0.176,4260.1
17,far_distance_trash65.jpg,trash,yes,yes,0.174,4260.1
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.58,5224.6
19,hn_scene_1006_9.jpg,plastic,no,no,0.598,5224.6
20,close_distance_trash92.jpg,metal,no,no,0.22,4257.0
21,far_distance_trash245.jpg,metal,yes,yes,0.162,4257.0
22,medium_distance_trash6.jpg,trash,no,no,0.163,4260.1
23,medium_distance_trash474.jpg,trash,no,yes,0.205,4260.1
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,0.562,5223.1
25,medium_distance_trash48.jpg,container,yes,yes,0.182,4259.6
26,marine_litter_428.jpg,polystyrene,yes,yes,0.167,4291.4
27,marine_litter_315.jpg,trash pile,no,no,0.16,4289.2
28,close_distance_trash45.jpg,trash,yes,no,0.155,4260.1
29,medium_distance_trash898.jpg,metal,yes,yes,0.171,4232.6
30,close_distance_trash316.jpg,trash,no,no,0.169,4292.3
31,medium_distance_trash658.jpg,plastic,yes,yes,0.165,4257.5
32,far_distance_trash36.jpg,trash,yes,no,0.172,4260.1
33,medium_distance_trash667.jpg,trash,yes,yes,0.165,4260.1
34,medium_distance_trash76.jpg,polystyrene,yes,no,0.159,4259.6
35,far_distance_trash74.jpg,container,no,yes,0.162,4259.6
36,close_distance_trash54.jpg,plastic,no,no,0.17,4257.5
37,marine_litter_155.jpg,plastic,yes,yes,0.166,4288.7
38,medium_distance_trash634.jpg,trash,yes,yes,0.153,4260.1
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,no,0.598,5223.1
40,hn_scene_1006_129.jpg,plastic,no,no,0.612,5224.6
41,close_distance_trash1240.jpg,trash,yes,yes,0.196,4414.4
42,medium_distance_trash706.jpg,plastic,yes,yes,0.163,4257.5
43,far_distance_trash415.jpg,polystyrene,yes,yes,0.16,4259.6
44,medium_distance_trash110.jpg,container,yes,yes,0.164,4259.6
45,hn_radisson_isla_corazon_anfi_89.jpg,trash pile,no,no,0.578,5226.1
46,far_distance_trash68.jpg,plastic,yes,yes,0.195,4257.5
47,hn_radisson_isla_corazon_anfi_106.jpg,trash pile,no,no,0.592,5226.1
48,far_distance_trash344.jpg,container,yes,no,0.198,4259.6
49,hn_radisson_isla_corazon_anfi_130.jpg,trash,no,no,0.583,5232.9
50,medium_distance_trash274.jpg,container,yes,yes,0.168,4259.6
