question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,yes,0.264,7627.3
2,medium_distance_trash648.jpg,container,yes,no,0.233,7627.3
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,no,1.231,8915.6
4,medium_distance_trash984.jpg,polystyrene,yes,yes,0.276,7657.4
5,hn_anfi_harbour_view_43.jpg,plastic,no,no,1.232,8910.4
6,close_distance_trash921.jpg,trash,no,no,2.239,10337.6
7,hn_anfi_isla_corazon_view_67.jpg,trash,no,no,1.219,8918.4
8,medium_distance_trash1048.jpg,container,no,TIMEOUT,15.004,0
9,far_distance_trash377.jpg,trash,yes,TIMEOUT,15.014,0
10,far_distance_trash351.jpg,plastic,no,TIMEOUT,15.012,0
11,hn_anfi_beach_vega_26.jpg,container,no,TIMEOUT,15.002,0
12,medium_distance_trash168.jpg,container,yes,TIMEOUT,15.005,0
13,medium_distance_trash883.jpg,container,yes,TIMEOUT,15.015,0
14,medium_distance_trash441.jpg,plastic,yes,TIMEOUT,15.009,0
15,medium_distance_trash719.jpg,plastic,yes,TIMEOUT,15.004,0
16,close_distance_trash477.jpg,trash pile,yes,TIMEOUT,15.01,0
17,close_distance_trash122.jpg,metal,no,TIMEOUT,15.003,0
18,medium_distance_trash1038.jpg,plastic,yes,TIMEOUT,15.002,0
19,close_distance_trash229.jpg,metal,no,TIMEOUT,15.012,0
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,TIMEOUT,15.014,0
21,close_distance_trash1022.jpg,trash,yes,TIMEOUT,15.009,0
22,hn_anfi_harbour_view_58.jpg,container,no,TIMEOUT,15.005,0
23,hn_anfi_harbour_view_134.jpg,container,no,TIMEOUT,15.003,0
24,medium_distance_trash148.jpg,plastic,yes,TIMEOUT,15.008,0
25,medium_distance_trash14.jpg,container,yes,TIMEOUT,15.01,0
26,medium_distance_trash897.jpg,metal,yes,TIMEOUT,15.008,0
27,far_distance_trash470.jpg,plastic,yes,TIMEOUT,15.001,0
28,hn_anfi_harbour_view_49.jpg,container,no,TIMEOUT,15.01,0
29,close_distance_trash33.jpg,trash,yes,TIMEOUT,15.016,0
30,medium_distance_trash840.jpg,plastic,no,TIMEOUT,15.015,0
31,far_distance_trash67.jpg,container,yes,TIMEOUT,15.016,0
32,medium_distance_trash185.jpg,plastic,no,no,4.344,11084.5
33,medium_distance_trash1076.jpg,metal,no,no,9.475,14479.3
34,medium_distance_trash271.jpg,plastic,yes,yes,0.25,7627.3
35,medium_distance_trash1054.jpg,plastic,yes,yes,0.401,7806.3
36,close_distance_trash545.jpg,container,yes,yes,13.385,23440.4
37,hn_cabo_torres_view_restinga_port_20.jpg,container,no,no,1.256,8915.6
38,hn_anfi_harbour_view_40.jpg,plastic,no,no,1.269,8910.4
39,close_distance_trash1273.jpg,container,no,no,0.617,8093.0
40,medium_distance_trash116.jpg,trash,yes,yes,0.26,7627.3
41,medium_distance_trash466.jpg,metal,yes,no,0.235,7627.3
42,close_distance_trash1281.jpg,container,no,no,0.639,8093.0
43,far_distance_trash91.jpg,container,yes,no,0.258,7627.3
44,medium_distance_trash849.jpg,plastic,yes,yes,0.238,7627.3
45,medium_distance_trash621.jpg,plastic,yes,no,0.231,7627.3
46,medium_distance_trash229.jpg,trash,yes,yes,0.236,7627.3
47,medium_distance_trash631.jpg,container,yes,no,0.235,7627.3
48,medium_distance_trash616.jpg,polystyrene,yes,no,0.231,7627.3
49,far_distance_trash256.jpg,plastic,yes,yes,0.232,7627.3
50,medium_distance_trash10.jpg,metal,yes,yes,0.24,7627.3
51,hn_anfi_beach_vega_28.jpg,trash,no,no,1.281,8918.4
52,far_distance_trash245.jpg,plastic,no,no,0.251,7627.3
53,medium_distance_trash230.jpg,plastic,no,no,0.234,7627.3
54,hn_anfi_harbour_view_62.jpg,container,no,no,1.208,8915.6
55,medium_distance_trash808.jpg,trash,yes,yes,0.264,7627.3
56,medium_distance_trash855.jpg,plastic,yes,no,0.242,7627.3
57,far_distance_trash250.jpg,trash,no,yes,0.241,7627.3
58,hn_scene_1006_92.jpg,container,no,no,1.291,8915.6
59,close_distance_trash885.jpg,polystyrene,no,no,13.452,23440.4
60,hn_cabo_torres_view_harbour_entrance_68.jpg,trash,no,no,1.229,8918.4
61,close_distance_trash21.jpg,trash,yes,no,0.25,7627.3
62,close_distance_trash1214.jpg,trash,yes,no,0.25,7658.8
63,close_distance_trash53.jpg,metal,no,no,0.235,7627.3
64,hn_anfi_isla_corazon_view_97.jpg,trash,no,no,1.23,8918.4
65,medium_distance_trash66.jpg,metal,yes,no,0.273,7655.5
66,medium_distance_trash871.jpg,container,no,no,0.246,7627.3
67,far_distance_trash531.jpg,polystyrene,yes,yes,0.247,7627.3
68,hn_anfi_isla_corazon_view_29.jpg,container,no,no,1.233,8915.6
69,medium_distance_trash177.jpg,polystyrene,yes,no,0.259,7627.3
70,hn_radisson_isla_corazon_anfi_36.jpg,plastic,no,no,1.222,8910.4
71,hn_radisson_isla_corazon_anfi_19.jpg,plastic,no,no,1.216,8910.4
72,hn_anfi_harbour_view_110.jpg,trash,no,no,1.214,8918.4
73,hn_anfi_harbour_view_74.jpg,trash,no,no,1.217,8918.4
74,medium_distance_trash691.jpg,trash pile,no,no,0.253,7627.3
75,hn_cabo_torres_view_harbour_entrance_34.jpg,container,no,no,1.191,8915.6
76,far_distance_trash450.jpg,plastic,no,no,13.332,23422.6
77,medium_distance_trash1075.jpg,trash,yes,no,0.242,7627.3
78,close_distance_trash1254.jpg,trash,no,no,0.659,8095.8
79,medium_distance_trash827.jpg,plastic fragment,yes,yes,0.248,7627.3
80,far_distance_trash36.jpg,trash,yes,yes,0.242,7627.3
81,close_distance_trash124.jpg,plastic,yes,yes,0.236,7627.3
82,close_distance_trash1022.jpg,trash pile,yes,yes,0.248,7656.4
83,far_distance_trash276.jpg,plastic,yes,yes,0.24,7627.3
84,hn_radisson_isla_corazon_anfi_38.jpg,plastic,no,no,1.232,8910.4
85,far_distance_trash529.jpg,plastic,no,yes,0.27,7627.3
86,close_distance_trash229.jpg,trash pile,yes,no,0.239,7627.3
87,medium_distance_trash414.jpg,metal,yes,yes,0.242,7627.3
88,medium_distance_trash533.jpg,container,no,yes,0.239,7627.3
89,medium_distance_trash592.jpg,plastic fragment,yes,yes,0.235,7627.3
90,medium_distance_trash248.jpg,plastic fragment,yes,yes,0.247,7627.3
91,close_distance_trash218.jpg,plastic,yes,yes,0.24,7627.3
92,medium_distance_trash880.jpg,plastic fragment,yes,yes,0.234,7627.3
93,medium_distance_trash278.jpg,plastic,yes,yes,0.236,7627.3
94,close_distance_trash1031.jpg,plastic,yes,yes,0.259,7655.9
95,hn_cabo_torres_view_restinga_port_50.jpg,plastic,no,no,1.21,8910.4
96,medium_distance_trash565.jpg,trash,yes,yes,0.254,7627.3
97,close_distance_trash50.jpg,container,no,no,0.255,7627.3
98,medium_distance_trash228.jpg,container,yes,yes,0.255,7627.3
99,medium_distance_trash883.jpg,trash,no,yes,0.252,7627.3
100,close_distance_trash195.jpg,trash pile,yes,yes,0.295,7627.3
101,close_distance_trash250.jpg,container,no,no,0.247,7627.3
102,hn_cabo_torres_view_harbour_entrance_20.jpg,plastic,no,no,1.252,8910.8
103,close_distance_trash1259.jpg,polystyrene,yes,yes,0.63,8093.0
104,far_distance_trash422.jpg,metal,no,no,0.249,7627.3
105,close_distance_trash3.jpg,container,no,TIMEOUT,15.015,0
106,medium_distance_trash227.jpg,metal,yes,TIMEOUT,15.014,0
107,medium_distance_trash416.jpg,trash,yes,TIMEOUT,15.006,0
108,close_distance_trash224.jpg,trash,no,TIMEOUT,15.014,0
109,medium_distance_trash849.jpg,metal,no,TIMEOUT,15.01,0
110,far_distance_trash529.jpg,plastic fragment,yes,TIMEOUT,15.014,0
111,close_distance_trash1171.jpg,plastic,yes,TIMEOUT,15.012,0
112,close_distance_trash236.jpg,plastic,yes,TIMEOUT,15.003,0
113,hn_scene_1006_115.jpg,plastic,no,TIMEOUT,15.01,0
114,medium_distance_trash827.jpg,plastic,yes,TIMEOUT,15.014,0
115,hn_radisson_isla_corazon_anfi_64.jpg,container,no,TIMEOUT,15.015,0
116,close_distance_trash200.jpg,container,no,TIMEOUT,15.017,0
117,medium_distance_trash569.jpg,plastic,no,TIMEOUT,15.012,0
118,medium_distance_trash610.jpg,container,yes,TIMEOUT,15.014,0
119,close_distance_trash73.jpg,trash,yes,TIMEOUT,15.008,0
120,hn_scene_1006_102.jpg,container,no,TIMEOUT,15.001,0
121,medium_distance_trash1077.jpg,trash,no,TIMEOUT,15.006,0
122,hn_radisson_isla_corazon_anfi_59.jpg,container,no,TIMEOUT,15.008,0
123,medium_distance_trash753.jpg,container,yes,TIMEOUT,15.01,0
124,medium_distance_trash6.jpg,plastic,no,TIMEOUT,15.011,0
125,close_distance_trash4.jpg,polystyrene,yes,TIMEOUT,15.006,0
126,medium_distance_trash419.jpg,trash,no,TIMEOUT,15.007,0
127,hn_anfi_isla_corazon_view_2.jpg,container,no,TIMEOUT,15.012,0
128,medium_distance_trash786.jpg,container,yes,TIMEOUT,15.016,0
129,close_distance_trash1249.jpg,trash pile,yes,TIMEOUT,15.014,0
130,hn_scene_1006_76.jpg,trash,no,TIMEOUT,15.015,0
131,medium_distance_trash911.jpg,trash,yes,TIMEOUT,19.923,0
132,hn_anfi_harbour_view_85.jpg,trash,no,TIMEOUT,15.007,0
133,hn_cabo_torres_view_harbour_entrance_54.jpg,container,no,TIMEOUT,15.011,0
134,far_distance_trash251.jpg,plastic,no,no,7.363,14210.5
