question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash219.jpg,container,yes,no,1.014,8241.6
2,medium_distance_trash156.jpg,metal,yes,yes,0.737,8241.6
3,far_distance_trash298.jpg,plastic,no,no,0.722,8241.6
4,medium_distance_trash218.jpg,trash,yes,no,0.826,8241.6
5,medium_distance_trash615.jpg,container,yes,no,0.83,8241.6
6,medium_distance_trash72.jpg,plastic,yes,yes,0.715,8241.6
7,medium_distance_trash22.jpg,metal,no,no,0.816,8241.6
8,medium_distance_trash689.jpg,metal,yes,yes,0.786,8241.6
9,far_distance_trash460.jpg,metal,yes,no,8.434,10937.1
10,far_distance_trash102.jpg,container,yes,yes,0.316,8241.6
11,far_distance_trash344.jpg,trash pile,no,no,0.284,8241.6
12,medium_distance_trash794.jpg,plastic,yes,no,0.305,8241.6
13,medium_distance_trash603.jpg,metal,no,no,0.273,8241.6
14,medium_distance_trash187.jpg,metal,yes,yes,0.238,8241.6
15,medium_distance_trash11.jpg,trash pile,no,no,0.23,8241.6
16,hn_anfi_isla_corazon_view_53.jpg,trash pile,no,no,2.068,9527.2
17,close_distance_trash195.jpg,container,yes,yes,0.329,8241.6
18,close_distance_trash1270.jpg,container,no,no,1.04,8710.4
19,hn_scene_1006_117.jpg,trash,no,no,1.666,9533.7
20,medium_distance_trash636.jpg,trash,no,no,0.294,8241.6
21,hn_radisson_isla_corazon_anfi_55.jpg,trash pile,no,no,1.722,9527.2
22,medium_distance_trash783.jpg,plastic,yes,yes,0.299,8241.6
23,hn_anfi_harbour_view_74.jpg,metal,no,no,1.723,9522.1
24,hn_radisson_isla_corazon_anfi_109.jpg,container,no,no,1.703,9530.5
25,hn_anfi_beach_vega_42.jpg,plastic,no,no,1.748,9524.6
26,far_distance_trash467.jpg,plastic,no,TIMEOUT,15.008,0
27,hn_radisson_isla_corazon_anfi_110.jpg,trash pile,no,TIMEOUT,15.005,0
28,hn_anfi_isla_corazon_view_82.jpg,polystyrene,no,TIMEOUT,15.001,0
29,medium_distance_trash768.jpg,trash,yes,TIMEOUT,15.011,0
30,close_distance_trash230.jpg,metal,no,TIMEOUT,15.003,0
31,hn_anfi_harbour_view_72.jpg,metal,no,TIMEOUT,15.007,0
32,medium_distance_trash1060.jpg,plastic,yes,TIMEOUT,15.009,0
33,hn_anfi_harbour_view_33.jpg,polystyrene,no,TIMEOUT,15.011,0
34,close_distance_trash83.jpg,metal,no,TIMEOUT,15.002,0
35,close_distance_trash1295.jpg,trash pile,no,TIMEOUT,15.011,0
36,medium_distance_trash515.jpg,metal,no,TIMEOUT,15.006,0
37,close_distance_trash183.jpg,trash,no,TIMEOUT,15.014,0
38,hn_anfi_harbour_view_84.jpg,trash pile,no,TIMEOUT,15.016,0
39,close_distance_trash540.jpg,plastic,yes,TIMEOUT,15.017,0
40,hn_radisson_isla_corazon_anfi_79.jpg,metal,no,TIMEOUT,15.016,0
41,close_distance_trash1248.jpg,trash pile,yes,TIMEOUT,15.01,0
42,close_distance_trash1245.jpg,trash pile,yes,TIMEOUT,15.003,0
43,far_distance_trash535.jpg,container,yes,TIMEOUT,15.012,0
44,close_distance_trash122.jpg,plastic,yes,TIMEOUT,15.002,0
45,close_distance_trash1191.jpg,metal,yes,TIMEOUT,15.014,0
46,medium_distance_trash855.jpg,metal,no,TIMEOUT,15.01,0
47,close_distance_trash685.jpg,trash pile,yes,TIMEOUT,15.014,0
48,hn_scene_1006_126.jpg,metal,no,TIMEOUT,15.009,0
49,far_distance_trash538.jpg,plastic,no,TIMEOUT,15.012,0
50,medium_distance_trash662.jpg,container,yes,TIMEOUT,15.009,0
51,medium_distance_trash1057.jpg,plastic,yes,TIMEOUT,15.011,0
52,far_distance_trash295.jpg,polystyrene,no,TIMEOUT,15.002,0
53,close_distance_trash100.jpg,polystyrene,no,TIMEOUT,15.01,0
54,far_distance_trash301.jpg,container,yes,TIMEOUT,15.017,0
55,hn_cabo_torres_view_restinga_port_28.jpg,container,no,TIMEOUT,15.012,0
56,medium_distance_trash872.jpg,trash pile,no,TIMEOUT,15.015,0
57,medium_distance_trash202.jpg,plastic,no,TIMEOUT,15.015,0
58,close_distance_trash251.jpg,trash,yes,TIMEOUT,15.013,0
59,close_distance_trash285.jpg,metal,no,TIMEOUT,15.016,0
60,medium_distance_trash467.jpg,container,yes,TIMEOUT,15.004,0
61,medium_distance_trash618.jpg,polystyrene,yes,yes,8.624,11455.2
62,medium_distance_trash128.jpg,plastic,yes,yes,8.028,11348.5
63,close_distance_trash1259.jpg,trash pile,yes,TIMEOUT,15.002,0
64,medium_distance_trash183.jpg,metal,yes,TIMEOUT,15.006,0
65,medium_distance_trash170.jpg,plastic,no,TIMEOUT,15.016,0
66,medium_distance_trash10.jpg,container,no,TIMEOUT,15.007,0
67,close_distance_trash9.jpg,metal,no,TIMEOUT,15.015,0
68,hn_anfi_harbour_view_47.jpg,polystyrene,no,TIMEOUT,15.002,0
69,hn_scene_1006_9.jpg,metal,no,TIMEOUT,15.008,0
70,hn_anfi_harbour_view_135.jpg,trash pile,no,TIMEOUT,15.004,0
71,medium_distance_trash959.jpg,metal,no,TIMEOUT,63.814,0
72,far_distance_trash79.jpg,metal,yes,TIMEOUT,15.004,0
73,medium_distance_trash845.jpg,trash pile,no,TIMEOUT,15.007,0
74,medium_distance_trash611.jpg,polystyrene,no,TIMEOUT,15.006,0
75,far_distance_trash470.jpg,polystyrene,no,TIMEOUT,15.005,0
76,far_distance_trash382.jpg,container,yes,TIMEOUT,15.009,0
77,medium_distance_trash684.jpg,container,yes,TIMEOUT,15.011,0
78,medium_distance_trash60.jpg,metal,no,TIMEOUT,15.004,0
79,hn_cabo_torres_view_harbour_entrance_39.jpg,trash,no,TIMEOUT,15.006,0
80,medium_distance_trash203.jpg,plastic,yes,TIMEOUT,15.002,0
81,hn_anfi_beach_vega_15.jpg,container,no,TIMEOUT,15.007,0
82,medium_distance_trash837.jpg,container,yes,TIMEOUT,15.004,0
83,close_distance_trash116.jpg,polystyrene,no,TIMEOUT,15.004,0
84,medium_distance_trash115.jpg,polystyrene,no,TIMEOUT,15.007,0
85,hn_anfi_harbour_view_117.jpg,plastic,no,TIMEOUT,15.013,0
86,close_distance_trash64.jpg,container,yes,TIMEOUT,15.015,0
87,medium_distance_trash1077.jpg,trash pile,no,TIMEOUT,15.009,0
88,hn_anfi_harbour_view_161.jpg,trash pile,no,TIMEOUT,15.009,0
89,medium_distance_trash559.jpg,trash,no,TIMEOUT,15.009,0
90,hn_anfi_harbour_view_178.jpg,trash pile,no,TIMEOUT,15.015,0
91,close_distance_trash494.jpg,trash pile,no,TIMEOUT,15.006,0
92,close_distance_trash483.jpg,metal,yes,yes,2.345,8598.7
93,hn_radisson_isla_corazon_anfi_38.jpg,trash,no,no,7.149,9533.7
94,close_distance_trash1241.jpg,plastic,yes,yes,1.462,8419.3
95,close_distance_trash33.jpg,metal,yes,yes,0.343,8241.6
96,hn_anfi_harbour_view_131.jpg,metal,no,no,7.151,9522.1
97,hn_cabo_torres_view_restinga_port_49.jpg,trash pile,no,no,7.094,9527.2
98,hn_scene_1006_120.jpg,trash pile,no,no,7.113,9527.2
99,medium_distance_trash244.jpg,trash,yes,yes,0.325,8241.6
100,medium_distance_trash90.jpg,container,no,yes,0.477,8241.6
101,hn_radisson_isla_corazon_anfi_86.jpg,polystyrene,no,no,7.304,9530.5
102,hn_radisson_isla_corazon_anfi_56.jpg,trash,no,no,5.075,9533.7
103,hn_anfi_harbour_view_103.jpg,trash,no,no,2.103,9533.7
104,medium_distance_trash269.jpg,plastic,yes,yes,0.256,8241.6
105,medium_distance_trash240.jpg,polystyrene,no,no,0.24,8241.6
106,medium_distance_trash237.jpg,metal,no,no,0.248,8241.6
107,close_distance_trash198.jpg,plastic,yes,yes,0.239,8241.6
108,medium_distance_trash30.jpg,plastic,yes,yes,0.238,8241.6
109,medium_distance_trash241.jpg,container,yes,yes,0.42,8241.6
110,medium_distance_trash494.jpg,trash,yes,no,0.239,8241.6
111,hn_radisson_isla_corazon_anfi_10.jpg,trash pile,no,no,1.654,9527.2
112,medium_distance_trash1066.jpg,container,yes,yes,0.246,8241.6
113,medium_distance_trash620.jpg,container,yes,yes,0.236,8241.6
114,medium_distance_trash833.jpg,trash pile,no,no,0.241,8241.6
115,close_distance_trash5.jpg,plastic,yes,yes,0.226,8222.0
116,close_distance_trash1246.jpg,plastic,yes,yes,0.426,8419.3
117,hn_cabo_torres_view_restinga_port_68.jpg,metal,no,no,1.64,9522.1
118,close_distance_trash1129.jpg,plastic,yes,yes,0.263,8271.7
119,hn_anfi_harbour_view_127.jpg,trash pile,no,no,1.6,9527.2
120,hn_anfi_harbour_view_23.jpg,polystyrene,no,no,1.645,9530.5
121,medium_distance_trash637.jpg,plastic,yes,yes,0.28,8241.6
122,far_distance_trash25.jpg,polystyrene,no,no,0.25,8241.6
123,medium_distance_trash993.jpg,trash pile,no,TIMEOUT,15.005,0
124,close_distance_trash191.jpg,container,yes,TIMEOUT,15.015,0
125,hn_anfi_harbour_view_94.jpg,trash,no,TIMEOUT,15.01,0
126,close_distance_trash234.jpg,plastic,yes,yes,14.519,24109.4
127,hn_cabo_torres_view_harbour_entrance_65.jpg,plastic,no,TIMEOUT,15.012,0
128,medium_distance_trash182.jpg,container,yes,yes,2.694,8457.6
129,medium_distance_trash48.jpg,container,yes,yes,0.813,8241.6
130,close_distance_trash906.jpg,plastic,yes,TIMEOUT,15.012,0
131,close_distance_trash818.jpg,polystyrene,no,TIMEOUT,15.015,0
132,close_distance_trash202.jpg,container,no,TIMEOUT,15.008,0
133,medium_distance_trash811.jpg,plastic,yes,TIMEOUT,15.006,0
134,hn_cabo_torres_view_restinga_port_51.jpg,container,no,TIMEOUT,15.006,0
135,hn_radisson_isla_corazon_anfi_8.jpg,metal,no,no,12.48,9579.3
136,hn_cabo_torres_view_harbour_entrance_24.jpg,metal,no,no,9.173,9522.1
137,medium_distance_trash635.jpg,plastic,yes,yes,0.728,8241.6
138,medium_distance_trash848.jpg,polystyrene,no,no,0.816,8241.6
139,hn_scene_1006_58.jpg,trash,no,no,9.131,9533.7
140,medium_distance_trash600.jpg,plastic,yes,yes,0.765,8241.6
141,close_distance_trash434.jpg,trash,no,no,0.925,8274.3
142,hn_cabo_torres_view_harbour_entrance_19.jpg,trash pile,no,no,9.136,9527.2
143,medium_distance_trash451.jpg,polystyrene,no,no,0.828,8241.6
144,medium_distance_trash762.jpg,trash pile,no,no,0.739,8241.6
145,medium_distance_trash491.jpg,polystyrene,yes,no,0.825,8241.6
146,close_distance_trash1250.jpg,container,yes,no,3.037,8710.4
147,hn_anfi_harbour_view_5.jpg,trash,no,no,9.14,9533.7
148,far_distance_trash435.jpg,container,yes,yes,0.815,8241.6
149,close_distance_trash554.jpg,trash,no,no,0.931,8274.3
150,medium_distance_trash921.jpg,trash,yes,TIMEOUT,15.009,0
