question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,no,0.532,1342.5
2,close_distance_trash10.jpg,trash pile,yes,no,0.664,1342.5
3,close_distance_trash10.jpg,trash,yes,no,0.534,1342.5
4,close_distance_trash10.jpg,plastic bottle,no,no,0.6,1342.5
5,close_distance_trash10.jpg,plastic bag,no,no,0.559,1342.5
6,close_distance_trash10.jpg,can,no,no,0.577,1342.5
7,close_distance_trash1006.jpg,plastic bag,yes,no,0.602,1342.5
8,close_distance_trash1006.jpg,trash pile,yes,no,0.637,1342.5
9,close_distance_trash1006.jpg,trash,no,no,0.619,1342.5
10,close_distance_trash1006.jpg,plastic bottle,no,no,0.567,1342.5
11,close_distance_trash101.jpg,glass,yes,no,0.549,1342.5
12,close_distance_trash101.jpg,trash,no,no,0.527,1342.5
13,close_distance_trash1019.jpg,plastic bottle,yes,no,0.644,1342.5
14,close_distance_trash1019.jpg,trash,no,no,0.706,1342.5
15,close_distance_trash102.jpg,plastic wrapper,yes,no,0.512,1342.5
16,close_distance_trash102.jpg,trash,yes,no,0.537,1342.5
17,close_distance_trash102.jpg,plastic bottle,no,no,0.557,1342.5
18,close_distance_trash102.jpg,plastic bag,no,no,0.538,1342.5
19,close_distance_trash1022.jpg,plastic bottle,yes,no,0.75,1445.9
20,close_distance_trash1022.jpg,trash pile,yes,no,0.724,1445.9
21,close_distance_trash1022.jpg,trash,yes,no,0.738,1445.9
22,close_distance_trash1022.jpg,plastic wrapper,no,no,0.654,1445.9
23,close_distance_trash1022.jpg,plastic bag,no,no,0.751,1445.9
24,close_distance_trash1022.jpg,can,no,no,0.735,1445.9
25,close_distance_trash1031.jpg,plastic bottle,yes,no,0.701,1445.9
26,close_distance_trash1031.jpg,plastic bag,yes,no,0.727,1445.9
27,close_distance_trash1031.jpg,trash,no,no,0.769,1445.9
28,close_distance_trash1031.jpg,plastic wrapper,no,no,0.734,1445.9
29,close_distance_trash104.jpg,plastic bag,yes,no,0.564,1342.5
30,close_distance_trash104.jpg,trash,no,no,0.549,1342.5
31,close_distance_trash1047.jpg,can,yes,no,0.661,1445.9
32,close_distance_trash1047.jpg,trash,no,no,0.761,1445.9
33,close_distance_trash105.jpg,plastic bottle,yes,no,0.539,1342.5
34,close_distance_trash105.jpg,trash,no,no,0.531,1342.5
35,close_distance_trash106.jpg,plastic bag,yes,no,0.517,1342.5
36,close_distance_trash106.jpg,trash,no,no,0.469,1342.5
37,close_distance_trash1062.jpg,plastic bottle,yes,no,0.697,1445.9
38,close_distance_trash1062.jpg,trash pile,yes,no,0.699,1445.9
39,close_distance_trash1062.jpg,trash,no,no,0.814,1445.9
40,close_distance_trash1062.jpg,plastic wrapper,no,no,0.763,1445.9
41,close_distance_trash1097.jpg,plastic bottle,yes,no,0.724,1445.9
42,close_distance_trash1097.jpg,trash,no,no,0.78,1445.9
43,close_distance_trash11.jpg,trash pile,yes,no,0.584,1342.5
44,close_distance_trash11.jpg,trash,no,no,0.51,1342.5
45,close_distance_trash1100.jpg,plastic bag,yes,no,0.713,1445.9
46,close_distance_trash1100.jpg,trash,no,no,0.745,1445.9
47,close_distance_trash1109.jpg,trash pile,yes,no,0.596,1342.5
48,close_distance_trash1109.jpg,trash,yes,no,0.586,1342.5
49,close_distance_trash1109.jpg,plastic bottle,no,no,0.636,1342.5
50,close_distance_trash1109.jpg,plastic wrapper,no,no,0.552,1342.5
51,close_distance_trash1122.jpg,trash,yes,no,0.619,1342.5
52,close_distance_trash1122.jpg,plastic bottle,no,no,0.528,1342.5
53,close_distance_trash1126.jpg,glass,yes,no,0.626,1445.9
54,close_distance_trash1126.jpg,trash,no,no,0.659,1445.9
55,close_distance_trash1129.jpg,plastic bottle,yes,no,0.667,1445.9
56,close_distance_trash1129.jpg,trash pile,yes,no,0.632,1445.9
57,close_distance_trash1129.jpg,trash,yes,no,0.659,1445.9
58,close_distance_trash1129.jpg,plastic wrapper,no,no,0.735,1445.9
59,close_distance_trash1129.jpg,plastic bag,no,no,0.695,1445.9
60,close_distance_trash1129.jpg,can,no,no,0.697,1445.9
61,close_distance_trash113.jpg,plastic bag,yes,no,0.534,1342.5
62,close_distance_trash113.jpg,trash,no,no,0.569,1342.5
63,close_distance_trash1136.jpg,plastic bag,yes,no,0.709,1445.9
64,close_distance_trash1136.jpg,trash,no,no,0.76,1445.9
65,close_distance_trash1137.jpg,plastic bottle,yes,no,0.737,1445.9
66,close_distance_trash1137.jpg,can,yes,no,0.719,1445.9
67,close_distance_trash1137.jpg,trash pile,yes,no,0.732,1445.9
68,close_distance_trash1137.jpg,trash,yes,no,0.748,1445.9
69,close_distance_trash1137.jpg,plastic wrapper,no,no,0.741,1445.9
70,close_distance_trash1137.jpg,plastic bag,no,no,0.751,1445.9
71,close_distance_trash1137.jpg,glass,no,no,0.691,1445.9
72,close_distance_trash1137.jpg,metal scrap,no,no,0.695,1445.9
73,close_distance_trash1139.jpg,plastic bottle,yes,no,0.725,1445.9
74,close_distance_trash1139.jpg,trash,no,no,0.75,1445.9
75,close_distance_trash1150.jpg,plastic wrapper,yes,no,0.739,1445.9
76,close_distance_trash1150.jpg,trash,no,no,0.756,1445.9
77,close_distance_trash116.jpg,plastic bottle,yes,no,0.539,1342.5
78,close_distance_trash116.jpg,trash,yes,no,0.626,1342.5
79,close_distance_trash116.jpg,plastic wrapper,no,no,0.54,1342.5
80,close_distance_trash116.jpg,plastic bag,no,no,0.523,1342.5
81,close_distance_trash119.jpg,trash,yes,no,0.566,1342.5
