question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,yes,5.08,13440.9
2,close_distance_trash191.jpg,plastic,no,yes,7.549,15718.4
3,far_distance_trash18.jpg,metal,yes,yes,2.028,10753.4
4,marine_litter_427.jpg,polystyrene,yes,TIMEOUT,15.016,0
5,hn_radisson_isla_corazon_anfi_42.jpg,metal,no,no,11.686,23790.1
6,marine_litter_340.jpg,polystyrene,yes,no,0.397,7681.1
7,hn_anfi_harbour_view_23.jpg,container,no,no,1.547,8934.7
8,far_distance_trash236.jpg,plastic,no,yes,0.322,7646.8
9,marine_litter_367.jpg,plastic,yes,yes,0.333,7679.2
10,marine_litter_25.jpg,trash,no,no,0.319,7681.7
11,hn_radisson_isla_corazon_anfi_70.jpg,metal,no,no,1.573,8928.1
12,medium_distance_trash914.jpg,container,no,TIMEOUT,15.011,0
13,medium_distance_trash484.jpg,metal,no,TIMEOUT,15.016,0
14,medium_distance_trash260.jpg,metal,yes,TIMEOUT,15.016,0
15,marine_litter_333.jpg,plastic,yes,TIMEOUT,15.017,0
16,medium_distance_trash673.jpg,trash,yes,TIMEOUT,15.01,0
17,far_distance_trash65.jpg,trash,yes,TIMEOUT,15.011,0
18,hn_cabo_torres_view_harbour_entrance_85.jpg,container,no,TIMEOUT,15.005,0
19,hn_scene_1006_9.jpg,container,no,TIMEOUT,15.005,0
20,close_distance_trash92.jpg,trash pile,no,TIMEOUT,15.006,0
21,far_distance_trash245.jpg,metal,yes,yes,2.065,10324.1
22,medium_distance_trash6.jpg,container,no,no,0.294,7646.8
23,medium_distance_trash474.jpg,container,no,no,0.31,7646.8
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,1.511,8928.1
25,medium_distance_trash48.jpg,container,yes,yes,0.345,7646.8
26,marine_litter_428.jpg,polystyrene,yes,yes,0.302,7681.1
27,marine_litter_315.jpg,container,no,yes,0.456,7681.1
28,close_distance_trash45.jpg,trash,yes,yes,0.277,7646.8
29,medium_distance_trash898.jpg,metal,yes,yes,0.272,7628.5
30,close_distance_trash316.jpg,trash pile,no,no,0.359,7679.5
31,medium_distance_trash658.jpg,plastic,yes,yes,0.395,7646.8
