question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,yes,0.601,7265.6
2,medium_distance_trash648.jpg,container,yes,no,0.241,7267.1
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,no,1.209,8549.0
4,medium_distance_trash984.jpg,polystyrene,yes,yes,0.262,7297.7
5,hn_anfi_harbour_view_43.jpg,metal,no,no,1.232,8541.5
6,close_distance_trash921.jpg,trash,no,no,2.206,9974.7
7,hn_anfi_isla_corazon_view_67.jpg,plastic,no,no,1.254,8544.2
8,medium_distance_trash1048.jpg,plastic fragment,no,TIMEOUT,15.009,0
9,far_distance_trash377.jpg,trash,yes,TIMEOUT,15.015,0
10,far_distance_trash351.jpg,plastic,no,TIMEOUT,15.013,0
11,hn_anfi_beach_vega_26.jpg,plastic fragment,no,TIMEOUT,15.014,0
12,medium_distance_trash168.jpg,container,yes,TIMEOUT,15.008,0
13,medium_distance_trash883.jpg,container,yes,TIMEOUT,15.007,0
14,medium_distance_trash441.jpg,plastic,yes,TIMEOUT,15.003,0
15,medium_distance_trash719.jpg,plastic,yes,yes,3.321,9118.5
16,close_distance_trash477.jpg,trash pile,yes,yes,0.927,8668.5
17,close_distance_trash122.jpg,plastic fragment,no,no,0.257,7323.4
18,medium_distance_trash1038.jpg,plastic,yes,yes,2.213,10016.6
19,close_distance_trash229.jpg,plastic fragment,no,yes,0.256,7323.4
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,no,1.182,8602.5
21,close_distance_trash1022.jpg,trash,yes,no,0.281,7355.0
22,hn_anfi_harbour_view_58.jpg,polystyrene,no,no,1.233,8607.7
23,hn_anfi_harbour_view_134.jpg,container,no,no,1.213,8607.7
24,medium_distance_trash148.jpg,plastic,yes,no,0.273,7323.4
25,medium_distance_trash14.jpg,container,yes,no,0.219,7323.4
26,medium_distance_trash897.jpg,metal,yes,yes,0.23,7305.5
27,far_distance_trash470.jpg,plastic,yes,yes,0.411,7500.9
28,hn_anfi_harbour_view_49.jpg,plastic fragment,no,no,1.22,8604.1
29,close_distance_trash33.jpg,trash,yes,yes,0.257,7323.4
30,medium_distance_trash840.jpg,trash,no,yes,0.242,7323.4
31,far_distance_trash67.jpg,container,yes,yes,0.238,7323.4
32,medium_distance_trash185.jpg,trash pile,no,no,0.237,7323.4
33,medium_distance_trash1076.jpg,polystyrene,no,no,0.236,7323.4
34,medium_distance_trash271.jpg,plastic,yes,yes,0.236,7323.4
35,medium_distance_trash1054.jpg,plastic,yes,yes,0.41,7500.9
36,close_distance_trash545.jpg,container,yes,TIMEOUT,15.011,0
37,hn_cabo_torres_view_restinga_port_20.jpg,trash pile,no,TIMEOUT,15.012,0
38,hn_anfi_harbour_view_40.jpg,metal,no,TIMEOUT,15.008,0
39,close_distance_trash1273.jpg,container,no,TIMEOUT,15.016,0
40,medium_distance_trash116.jpg,trash,yes,TIMEOUT,15.007,0
41,medium_distance_trash466.jpg,metal,yes,TIMEOUT,15.009,0
42,close_distance_trash1281.jpg,container,no,TIMEOUT,15.013,0
43,far_distance_trash91.jpg,container,yes,no,12.873,9360.4
44,medium_distance_trash849.jpg,plastic,yes,yes,1.977,10223.1
45,medium_distance_trash621.jpg,plastic,yes,no,0.243,7323.4
46,medium_distance_trash229.jpg,trash,yes,yes,0.235,7323.4
47,medium_distance_trash631.jpg,container,yes,no,0.236,7323.4
48,medium_distance_trash616.jpg,polystyrene,yes,no,0.24,7323.4
49,far_distance_trash256.jpg,plastic,yes,yes,0.249,7323.4
50,medium_distance_trash10.jpg,metal,yes,yes,0.237,7323.4
51,hn_anfi_beach_vega_28.jpg,trash,no,no,1.244,8610.5
52,far_distance_trash245.jpg,polystyrene,no,no,0.247,7323.4
53,medium_distance_trash230.jpg,polystyrene,no,no,0.238,7323.4
54,hn_anfi_harbour_view_62.jpg,metal,no,no,1.25,8599.9
55,medium_distance_trash808.jpg,trash,yes,yes,0.261,7323.4
56,medium_distance_trash855.jpg,plastic,yes,no,0.236,7323.4
57,far_distance_trash250.jpg,trash,no,yes,0.238,7323.4
58,hn_scene_1006_92.jpg,plastic fragment,no,no,1.241,8604.1
59,close_distance_trash885.jpg,trash,no,TIMEOUT,15.007,0
60,hn_cabo_torres_view_harbour_entrance_68.jpg,metal,no,TIMEOUT,15.01,0
61,close_distance_trash21.jpg,trash,yes,TIMEOUT,15.007,0
62,close_distance_trash1214.jpg,trash,yes,TIMEOUT,15.013,0
63,close_distance_trash53.jpg,plastic fragment,no,TIMEOUT,15.014,0
64,hn_anfi_isla_corazon_view_97.jpg,metal,no,TIMEOUT,15.003,0
65,medium_distance_trash66.jpg,metal,yes,TIMEOUT,15.006,0
66,medium_distance_trash871.jpg,metal,no,no,12.346,9136.9
67,far_distance_trash531.jpg,polystyrene,yes,yes,1.651,9973.1
68,hn_anfi_isla_corazon_view_29.jpg,trash pile,no,no,1.199,8604.1
69,medium_distance_trash177.jpg,polystyrene,yes,no,0.26,7323.4
70,hn_radisson_isla_corazon_anfi_36.jpg,plastic,no,no,1.207,8602.5
71,hn_radisson_isla_corazon_anfi_19.jpg,plastic fragment,no,no,1.253,8604.1
72,hn_anfi_harbour_view_110.jpg,trash,no,no,1.22,8610.5
73,hn_anfi_harbour_view_74.jpg,polystyrene,no,no,1.272,8607.7
74,medium_distance_trash691.jpg,trash pile,no,no,0.274,7323.4
75,hn_cabo_torres_view_harbour_entrance_34.jpg,polystyrene,no,no,1.262,8607.7
76,far_distance_trash450.jpg,polystyrene,no,TIMEOUT,15.013,0
77,medium_distance_trash1075.jpg,trash,yes,TIMEOUT,15.005,0
78,close_distance_trash1254.jpg,polystyrene,no,TIMEOUT,15.014,0
79,medium_distance_trash827.jpg,plastic fragment,yes,TIMEOUT,15.007,0
80,far_distance_trash36.jpg,trash,yes,TIMEOUT,15.013,0
81,close_distance_trash124.jpg,plastic,yes,TIMEOUT,15.002,0
82,close_distance_trash1022.jpg,trash pile,yes,TIMEOUT,15.009,0
83,far_distance_trash276.jpg,plastic,yes,yes,12.444,8624.6
84,hn_radisson_isla_corazon_anfi_38.jpg,trash,no,no,1.271,8610.7
85,far_distance_trash529.jpg,container,no,no,0.219,7323.4
86,close_distance_trash229.jpg,trash pile,yes,no,0.236,7323.4
87,medium_distance_trash414.jpg,metal,yes,yes,0.234,7323.4
88,medium_distance_trash533.jpg,plastic fragment,no,yes,0.244,7323.4
89,medium_distance_trash592.jpg,plastic fragment,yes,yes,0.232,7323.4
90,medium_distance_trash248.jpg,plastic fragment,yes,yes,0.243,7323.4
91,close_distance_trash218.jpg,plastic,yes,yes,0.244,7323.4
92,medium_distance_trash880.jpg,plastic fragment,yes,yes,0.241,7323.4
93,medium_distance_trash278.jpg,plastic,yes,yes,0.24,7323.4
94,close_distance_trash1031.jpg,plastic,yes,yes,0.249,7352.8
95,hn_cabo_torres_view_restinga_port_50.jpg,container,no,no,1.274,8607.7
96,medium_distance_trash565.jpg,trash,yes,yes,0.278,7323.4
97,close_distance_trash50.jpg,trash pile,no,no,0.27,7323.4
98,medium_distance_trash228.jpg,container,yes,yes,0.255,7323.4
99,medium_distance_trash883.jpg,trash,no,yes,0.28,7323.4
100,close_distance_trash195.jpg,trash pile,yes,yes,0.258,7323.4
101,close_distance_trash250.jpg,metal,no,yes,0.241,7323.4
102,hn_cabo_torres_view_harbour_entrance_20.jpg,container,no,no,1.193,8608.2
103,close_distance_trash1259.jpg,polystyrene,yes,yes,0.648,7788.7
104,far_distance_trash422.jpg,polystyrene,no,yes,0.246,7323.4
105,close_distance_trash3.jpg,container,no,TIMEOUT,15.007,0
106,medium_distance_trash227.jpg,metal,yes,TIMEOUT,15.004,0
107,medium_distance_trash416.jpg,trash,yes,TIMEOUT,15.015,0
108,close_distance_trash224.jpg,container,no,TIMEOUT,15.004,0
109,medium_distance_trash849.jpg,metal,no,TIMEOUT,15.014,0
110,far_distance_trash529.jpg,plastic fragment,yes,TIMEOUT,15.013,0
111,close_distance_trash1171.jpg,plastic,yes,TIMEOUT,15.008,0
112,close_distance_trash236.jpg,plastic,yes,TIMEOUT,15.009,0
113,hn_scene_1006_115.jpg,plastic fragment,no,TIMEOUT,15.01,0
114,medium_distance_trash827.jpg,plastic,yes,TIMEOUT,15.003,0
115,hn_radisson_isla_corazon_anfi_64.jpg,trash,no,TIMEOUT,15.012,0
116,close_distance_trash200.jpg,plastic fragment,no,TIMEOUT,15.012,0
117,medium_distance_trash569.jpg,trash pile,no,TIMEOUT,15.002,0
