question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,yes,0.408,4176.7
2,medium_distance_trash648.jpg,container,yes,no,0.176,4173.5
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,no,0.765,5146.0
4,medium_distance_trash984.jpg,polystyrene,yes,yes,0.174,4208.6
5,hn_anfi_harbour_view_43.jpg,metal,no,no,0.774,5140.4
6,close_distance_trash921.jpg,trash,no,yes,1.282,6135.0
7,hn_anfi_isla_corazon_view_67.jpg,plastic,no,no,0.824,5142.6
8,medium_distance_trash1048.jpg,plastic fragment,no,no,11.286,26591.4
9,far_distance_trash377.jpg,trash,yes,yes,0.253,4174.4
10,far_distance_trash351.jpg,plastic,no,no,0.208,4172.1
11,hn_anfi_beach_vega_26.jpg,plastic fragment,no,no,0.759,5143.4
12,medium_distance_trash168.jpg,container,yes,yes,0.188,4168.9
13,medium_distance_trash883.jpg,container,yes,yes,0.175,4173.5
14,medium_distance_trash441.jpg,plastic,yes,yes,0.168,4172.1
15,medium_distance_trash719.jpg,plastic,yes,no,0.163,4172.1
16,close_distance_trash477.jpg,trash pile,yes,yes,0.186,4207.5
17,close_distance_trash122.jpg,plastic fragment,no,no,0.177,4172.6
18,medium_distance_trash1038.jpg,plastic,yes,yes,1.343,6121.9
19,close_distance_trash229.jpg,plastic fragment,no,no,0.179,4172.6
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,no,0.783,5141.9
21,close_distance_trash1022.jpg,trash,yes,yes,0.164,4209.8
22,hn_anfi_harbour_view_58.jpg,polystyrene,no,no,0.79,5146.4
23,hn_anfi_harbour_view_134.jpg,container,no,no,0.784,5146.4
24,medium_distance_trash148.jpg,plastic,yes,yes,0.181,4172.1
25,medium_distance_trash14.jpg,container,yes,yes,0.164,4173.5
26,medium_distance_trash897.jpg,metal,yes,yes,0.165,4149.4
27,far_distance_trash470.jpg,plastic,yes,yes,0.262,4326.8
28,hn_anfi_harbour_view_49.jpg,plastic fragment,no,no,0.746,5143.4
29,close_distance_trash33.jpg,trash,yes,no,0.185,4174.4
30,medium_distance_trash840.jpg,trash,no,yes,0.166,4174.4
31,far_distance_trash67.jpg,container,yes,yes,0.17,4173.5
32,medium_distance_trash185.jpg,trash pile,no,no,0.173,4172.6
33,medium_distance_trash1076.jpg,polystyrene,no,no,0.167,4173.5
34,medium_distance_trash271.jpg,plastic,yes,yes,0.177,4172.1
35,medium_distance_trash1054.jpg,plastic,yes,yes,0.263,4326.8
36,close_distance_trash545.jpg,container,yes,yes,5.175,14348.3
37,hn_cabo_torres_view_restinga_port_20.jpg,trash pile,no,no,0.734,5143.4
38,hn_anfi_harbour_view_40.jpg,metal,no,no,0.791,5140.4
39,close_distance_trash1273.jpg,container,no,no,0.415,4569.7
40,medium_distance_trash116.jpg,trash,yes,yes,0.17,4174.4
41,medium_distance_trash466.jpg,metal,yes,no,0.165,4172.9
42,close_distance_trash1281.jpg,container,no,yes,0.455,4569.7
43,far_distance_trash91.jpg,container,yes,no,0.23,4173.5
44,medium_distance_trash849.jpg,plastic,yes,yes,0.166,4172.1
45,medium_distance_trash621.jpg,plastic,yes,no,0.17,4172.1
46,medium_distance_trash229.jpg,trash,yes,yes,0.183,4174.4
47,medium_distance_trash631.jpg,container,yes,no,0.166,4173.5
48,medium_distance_trash616.jpg,polystyrene,yes,no,0.165,4173.5
49,far_distance_trash256.jpg,plastic,yes,yes,0.169,4172.1
50,medium_distance_trash10.jpg,metal,yes,yes,0.183,4172.9
51,hn_anfi_beach_vega_28.jpg,trash,no,no,0.787,5149.4
52,far_distance_trash245.jpg,polystyrene,no,no,0.198,4173.5
53,medium_distance_trash230.jpg,polystyrene,no,no,0.159,4173.5
54,hn_anfi_harbour_view_62.jpg,metal,no,no,0.745,5140.4
55,medium_distance_trash808.jpg,trash,yes,yes,0.193,4174.4
56,medium_distance_trash855.jpg,plastic,yes,no,0.174,4172.1
57,far_distance_trash250.jpg,trash,no,yes,0.166,4174.4
58,hn_scene_1006_92.jpg,plastic fragment,no,no,0.787,5143.4
59,close_distance_trash885.jpg,trash,no,yes,5.21,14357.8
60,hn_cabo_torres_view_harbour_entrance_68.jpg,metal,no,no,0.692,5140.4
61,close_distance_trash21.jpg,trash,yes,yes,0.163,4174.4
62,close_distance_trash1214.jpg,trash,yes,yes,0.177,4209.8
63,close_distance_trash53.jpg,plastic fragment,no,no,0.17,4172.6
64,hn_anfi_isla_corazon_view_97.jpg,metal,no,no,0.761,5140.4
65,medium_distance_trash66.jpg,metal,yes,yes,0.172,4206.4
66,medium_distance_trash871.jpg,metal,no,no,0.169,4172.9
67,far_distance_trash531.jpg,polystyrene,yes,yes,0.166,4173.5
68,hn_anfi_isla_corazon_view_29.jpg,trash pile,no,no,0.739,5143.4
69,medium_distance_trash177.jpg,polystyrene,yes,no,0.183,4173.5
70,hn_radisson_isla_corazon_anfi_36.jpg,plastic,no,no,0.816,5141.9
71,hn_radisson_isla_corazon_anfi_19.jpg,plastic fragment,no,no,0.796,5143.4
72,hn_anfi_harbour_view_110.jpg,trash,no,no,0.811,5149.4
73,hn_anfi_harbour_view_74.jpg,polystyrene,no,no,0.755,5146.4
74,medium_distance_trash691.jpg,trash pile,no,no,0.2,4172.6
75,hn_cabo_torres_view_harbour_entrance_34.jpg,polystyrene,no,no,0.769,5146.4
76,far_distance_trash450.jpg,polystyrene,no,no,5.193,14348.3
77,medium_distance_trash1075.jpg,trash,yes,yes,0.184,4174.4
78,close_distance_trash1254.jpg,polystyrene,no,no,0.431,4569.7
79,medium_distance_trash827.jpg,plastic fragment,yes,yes,0.196,4172.6
80,far_distance_trash36.jpg,trash,yes,yes,0.191,4174.4
81,close_distance_trash124.jpg,plastic,yes,no,0.172,4172.1
82,close_distance_trash1022.jpg,trash pile,yes,yes,0.185,4207.5
83,far_distance_trash276.jpg,plastic,yes,yes,0.175,4172.1
84,hn_radisson_isla_corazon_anfi_38.jpg,trash,no,no,0.737,5149.4
85,far_distance_trash529.jpg,container,no,no,0.174,4173.5
86,close_distance_trash229.jpg,trash pile,yes,yes,0.171,4172.6
87,medium_distance_trash414.jpg,metal,yes,yes,0.167,4172.9
88,medium_distance_trash533.jpg,plastic fragment,no,yes,0.183,4172.6
89,medium_distance_trash592.jpg,plastic fragment,yes,yes,0.17,4172.6
90,medium_distance_trash248.jpg,plastic fragment,yes,yes,0.177,4172.6
91,close_distance_trash218.jpg,plastic,yes,yes,0.161,4172.1
92,medium_distance_trash880.jpg,plastic fragment,yes,yes,0.169,4172.6
93,medium_distance_trash278.jpg,plastic,yes,yes,0.163,4172.1
94,close_distance_trash1031.jpg,plastic,yes,yes,0.192,4207.0
95,hn_cabo_torres_view_restinga_port_50.jpg,container,no,no,0.774,5146.4
96,medium_distance_trash565.jpg,trash,yes,yes,0.179,4174.4
97,close_distance_trash50.jpg,trash pile,no,no,0.181,4172.6
98,medium_distance_trash228.jpg,container,yes,yes,0.162,4173.5
99,medium_distance_trash883.jpg,trash,no,yes,0.235,4174.4
100,close_distance_trash195.jpg,trash pile,yes,no,0.22,4172.6
101,close_distance_trash250.jpg,metal,no,no,0.162,4172.9
102,hn_cabo_torres_view_harbour_entrance_20.jpg,container,no,no,0.796,5146.1
103,close_distance_trash1259.jpg,polystyrene,yes,yes,0.422,4573.0
104,far_distance_trash422.jpg,polystyrene,no,no,0.182,4175.7
105,close_distance_trash3.jpg,container,no,yes,13.239,30029.1
106,medium_distance_trash227.jpg,metal,yes,no,0.239,4173.8
107,medium_distance_trash416.jpg,trash,yes,no,0.209,4177.6
108,close_distance_trash224.jpg,container,no,no,0.219,4175.7
109,medium_distance_trash849.jpg,metal,no,no,0.203,4173.8
110,far_distance_trash529.jpg,plastic fragment,yes,no,0.204,4173.7
111,close_distance_trash1171.jpg,plastic,yes,yes,0.183,4207.7
112,close_distance_trash236.jpg,plastic,yes,yes,0.17,4172.2
113,hn_scene_1006_115.jpg,plastic fragment,no,no,0.77,5143.3
114,medium_distance_trash827.jpg,plastic,yes,yes,0.219,4172.2
115,hn_radisson_isla_corazon_anfi_64.jpg,trash,no,no,0.809,5151.1
116,close_distance_trash200.jpg,plastic fragment,no,yes,0.179,4173.7
117,medium_distance_trash569.jpg,trash pile,no,no,0.168,4173.7
118,medium_distance_trash610.jpg,container,yes,no,0.17,4175.7
119,close_distance_trash73.jpg,trash,yes,no,0.169,4177.6
120,hn_scene_1006_102.jpg,trash pile,no,no,0.748,5143.3
121,medium_distance_trash1077.jpg,trash,no,yes,0.183,4177.6
122,hn_radisson_isla_corazon_anfi_59.jpg,plastic fragment,no,no,0.744,5143.3
123,medium_distance_trash753.jpg,container,yes,yes,0.193,4175.7
124,medium_distance_trash6.jpg,container,no,no,0.17,4175.7
125,close_distance_trash4.jpg,polystyrene,yes,yes,2.505,8669.9
126,medium_distance_trash419.jpg,polystyrene,no,no,0.175,4175.7
127,hn_anfi_isla_corazon_view_2.jpg,trash,no,no,0.745,5151.1
128,medium_distance_trash786.jpg,container,yes,yes,0.194,4175.7
129,close_distance_trash1249.jpg,trash pile,yes,yes,0.458,4570.4
130,hn_scene_1006_76.jpg,polystyrene,no,no,0.75,5146.3
131,medium_distance_trash911.jpg,trash,yes,yes,5.196,14358.5
132,hn_anfi_harbour_view_85.jpg,plastic fragment,no,no,0.728,5143.3
133,hn_cabo_torres_view_harbour_entrance_54.jpg,polystyrene,no,no,0.779,5146.3
134,far_distance_trash251.jpg,metal,no,no,0.169,4173.8
135,close_distance_trash194.jpg,trash,yes,yes,0.163,4177.6
136,close_distance_trash315.jpg,container,yes,yes,0.176,4210.8
137,close_distance_trash202.jpg,metal,yes,no,0.163,4173.8
138,medium_distance_trash584.jpg,trash,no,yes,0.166,4177.6
139,hn_anfi_harbour_view_106.jpg,polystyrene,no,no,0.807,5146.3
140,hn_radisson_isla_corazon_anfi_82.jpg,plastic,no,no,0.801,5141.8
141,hn_scene_1006_18.jpg,container,no,no,0.763,5146.3
142,medium_distance_trash1053.jpg,plastic,yes,yes,0.766,5033.5
143,medium_distance_trash131.jpg,container,yes,yes,0.182,4175.7
144,far_distance_trash36.jpg,trash pile,no,no,0.17,4173.7
145,close_distance_trash116.jpg,polystyrene,no,no,0.175,4175.7
146,medium_distance_trash461.jpg,plastic,no,no,0.166,4172.2
147,far_distance_trash81.jpg,metal,yes,yes,0.159,4149.4
148,far_distance_trash482.jpg,plastic,yes,yes,0.172,4172.2
149,close_distance_trash83.jpg,trash,yes,yes,0.163,4177.6
150,close_distance_trash5.jpg,plastic,yes,yes,0.162,4156.1
151,medium_distance_trash883.jpg,plastic,yes,no,0.168,4172.2
152,medium_distance_trash781.jpg,plastic fragment,no,no,0.153,4173.7
153,close_distance_trash203.jpg,trash pile,no,no,0.176,4173.7
154,hn_anfi_harbour_view_45.jpg,polystyrene,no,no,0.814,5146.3
155,far_distance_trash250.jpg,plastic,yes,yes,0.175,4172.2
156,medium_distance_trash738.jpg,metal,yes,no,0.185,4173.8
157,close_distance_trash192.jpg,plastic,yes,yes,0.169,4172.2
158,medium_distance_trash942.jpg,metal,yes,yes,1.268,6119.5
159,close_distance_trash299.jpg,metal,no,no,0.383,4519.1
160,hn_radisson_isla_corazon_anfi_29.jpg,plastic,no,no,0.78,5141.8
161,medium_distance_trash231.jpg,container,yes,yes,0.177,4175.7
162,medium_distance_trash774.jpg,polystyrene,yes,yes,0.159,4175.7
163,far_distance_trash402.jpg,container,yes,yes,0.214,4175.7
164,close_distance_trash234.jpg,plastic,yes,yes,0.161,4172.2
165,medium_distance_trash45.jpg,trash,yes,yes,0.169,4177.6
166,medium_distance_trash782.jpg,container,yes,no,0.159,4175.7
167,medium_distance_trash812.jpg,trash,no,yes,0.165,4177.6
168,medium_distance_trash721.jpg,container,no,no,0.166,4175.7
169,medium_distance_trash860.jpg,trash pile,no,no,0.177,4173.7
170,medium_distance_trash439.jpg,plastic,no,no,0.184,4172.2
171,close_distance_trash1264.jpg,plastic,yes,yes,0.438,4569.6
172,close_distance_trash259.jpg,plastic,yes,yes,0.475,4601.7
173,close_distance_trash1129.jpg,plastic,yes,yes,0.174,4207.7
174,medium_distance_trash879.jpg,plastic fragment,yes,yes,0.186,4173.7
175,close_distance_trash180.jpg,polystyrene,no,no,0.175,4175.7
176,hn_cabo_torres_view_restinga_port_53.jpg,trash,no,no,0.801,5151.1
