timestamp,image,model,variant,prompt,response,garbage_detected,classes_detected,inference_s,vram_mb
2026-04-22T12:55:57,close_distance_trash11.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty street with a pile of trash, including plastic bags and bottles, and a car parked nearby.",True,"plastic bag, trash",2.854,13938.1
2026-04-22T12:56:00,close_distance_trash12.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty sidewalk with a pile of trash, including plastic bottles, cans, and wrappers.",True,"plastic bottle, can, trash",2.228,13936.9
2026-04-22T12:56:02,close_distance_trash1286.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty field with a pile of trash, including plastic bottles, cans, and wrappers.",True,"plastic bottle, can, trash",2.141,13936.9
2026-04-22T12:56:04,close_distance_trash1287.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty hillside with a pile of trash, including plastic bags, bottles, and wrappers.",True,"plastic bag, trash",2.226,13936.9
2026-04-22T12:56:06,close_distance_trash1288.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty sidewalk with a pile of trash, including plastic bags, wrappers, and bottles.",True,"plastic bag, trash",2.254,13936.9
2026-04-22T12:56:09,close_distance_trash1289.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty sidewalk with a pile of trash, including plastic bags, wrappers, and bottles.",True,"plastic bag, trash",2.264,13936.9
2026-04-22T12:56:11,close_distance_trash1290.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a pile of trash on the ground, including a bunch of papers, a can, and a wrapper.",True,"can, trash",2.093,13936.9
2026-04-22T12:56:12,close_distance_trash1291.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a dirty sidewalk with a plastic bottle and a can on the ground.,True,"plastic bottle, can",1.641,13936.9
2026-04-22T12:56:14,close_distance_trash1292.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a white countertop with a plastic bottle sitting on it.,True,plastic bottle,1.356,13936.9
2026-04-22T12:56:16,close_distance_trash1293.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty sidewalk with a pile of trash, including plastic bottles, a can, and a plastic bag.",True,"plastic bottle, can, plastic bag, trash",2.292,13936.9
2026-04-22T12:56:17,close_distance_trash1296.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a bunch of plastic bottles hanging from a net.,True,plastic bottle,1.321,13936.9
2026-04-22T12:56:21,close_distance_trash1297.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a person holding a brown egg carton with a broken egg in it. The carton is made of cardboard and has a label on it. The person is standing in a living room with a couch and a chair.,False,,3.56,13936.9
2026-04-22T12:56:22,close_distance_trash1298.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a kitchen counter with a can of beans on it.,True,can,1.263,13936.9
2026-04-22T12:56:24,close_distance_trash1299.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty sidewalk with leaves, trash, and a plastic bag on the ground.",True,"plastic bag, trash",1.719,13936.9
2026-04-22T12:56:26,close_distance_trash13.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN",The image shows a wooden table with a broken tube of lip balm and a small metal container on it.,False,,1.748,13936.9
2026-04-22T12:56:27,close_distance_trash1300.jpg,llava,llava-hf/llava-1.5-7b-hf,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a dirty sidewalk with a pile of trash, including plastic bottles and cans.",True,"plastic bottle, can, trash",1.817,13936.9
