timestamp,image,model,variant,prompt,response,garbage_detected,classes_detected,inference_s,vram_mb
2026-04-22T10:22:59,close_distance_trash11.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image depicts a street scene with various elements. On the ground, there is a large pile of garbage, including plastic bags, plastic bottles, and other miscellaneous waste. The pile appears to be quite dirty and unorganized. In the background, there are several vehicles, including cars and motorcycles, parked along the street. There are also some buildings and shops visible, indicating an urban setting. The overall condition of the area seems to be quite messy due to the presence of the garbage pile.

DETECTED: plastic bottle, plastic bag, plastic wrapper, trash pile",True,"plastic bottle, plastic bag, plastic wrapper, trash pile, trash",8.705,7250.1
2026-04-22T10:23:05,close_distance_trash12.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a concrete surface with various items scattered across it. There are several plastic bottles, including clear and green ones, along with some cans. Plastic bags and wrappers are also present, indicating a mix of different types of waste. The area appears to be somewhat dirty, with some debris and litter scattered around. The overall condition suggests a lack of proper waste management.

DETECTED: plastic bottle, can, plastic bag, plastic wrapper, trash pile",True,"plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",6.84,7430.5
2026-04-22T10:23:14,close_distance_trash1286.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a large area covered in various types of waste, including plastic bags, plastic wrappers, and other miscellaneous debris. The ground is uneven and covered with a mix of green vegetation and scattered trash. The waste appears to be in various states of decomposition, with some items still recognizable as their original form while others have become more fragmented. The overall scene is quite chaotic and unclean, indicating a significant amount of littering in the area.

DETECTED: plastic bag, plastic wrapper, trash pile",True,"plastic bag, plastic wrapper, trash pile, trash",8.113,7767.9
2026-04-22T10:23:21,close_distance_trash1287.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a large pile of garbage on the ground, consisting mainly of plastic bags, wrappers, and other miscellaneous waste. The area is surrounded by green vegetation, but the garbage is spread out unevenly across the ground. There are various colors of plastic bags and wrappers mixed together, indicating a mix of different types of waste. The overall condition appears to be quite dirty and unclean.

DETECTED: plastic bag, plastic wrapper, trash pile",True,"plastic bag, plastic wrapper, trash pile, trash",7.16,7767.9
2026-04-22T10:23:29,close_distance_trash1288.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a large pile of various types of waste, including plastic bags, plastic wrappers, and other miscellaneous items. The pile is quite dense and appears to be a mix of different materials, such as clothing, food packaging, and possibly electronic waste. The condition of the waste is generally dirty and unsorted, indicating a lack of proper waste management. There are also some green plants growing around the edges of the pile, suggesting that the area might be partially covered by vegetation.

DETECTED: plastic bag, plastic wrapper, trash pile",True,"plastic bag, plastic wrapper, trash pile, trash",8.316,7767.9
2026-04-22T10:23:39,close_distance_trash1289.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a sandy surface with various types of waste scattered across it. There is a noticeable pile of trash in the center, consisting of plastic bags, plastic wrappers, and other miscellaneous items. Some of the items include a yellow package with red text, a purple box, and a green and white container. The surrounding area also has small rocks and pieces of concrete. The overall condition appears to be quite dirty and unclean.

DETECTED: plastic bag, plastic wrapper, trash pile",True,"plastic bag, plastic wrapper, trash pile, trash",9.765,8402.0
2026-04-22T10:23:49,close_distance_trash1290.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a trash pile consisting of various discarded items including plastic bags, wrappers, and food packaging. The pile appears to be quite messy, with papers, aluminum foil, and other debris mixed together. There is a noticeable presence of food packaging, such as a bag of chips, which is partially open and contains some remaining contents. The overall condition of the pile suggests it has been left unattended for some time, contributing to environmental pollution.

DETECTED: plastic bag, plastic wrapper, trash pile",True,"plastic bag, plastic wrapper, trash pile, trash",10.214,8402.0
2026-04-22T10:23:57,close_distance_trash1291.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a plastic bottle lying on the ground among some green plants and fallen leaves. The bottle appears to be partially buried in the soil, with its cap still attached. The surrounding area is covered with various types of vegetation, including broad-leafed plants and smaller shrubs. The ground is a mix of dirt and small rocks, with some patches of grass visible.

DETECTED: plastic bottle",True,plastic bottle,7.586,8402.0
2026-04-22T10:31:34,close_distance_trash11.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image depicts a street scene with various elements. On the ground, there is a large pile of garbage, including plastic bags, plastic bottles, and other miscellaneous waste. The pile appears to be quite substantial and is situated next to a trash bin. In the background, there are several vehicles, including cars and motorcycles, parked along the street. The area around the vehicles looks somewhat cluttered, with additional debris scattered around. The buildings in the background have signs and advertisements, indicating it might be a commercial area. The overall condition of the environment suggests a lack of proper waste management.

DETECTED: plastic bottle, plastic bag, plastic wrapper, trash pile",True,"plastic bottle, plastic bag, plastic wrapper, trash pile, trash",9.87,7250.1
2026-04-22T10:31:40,close_distance_trash12.jpg,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,"Describe what you see in this image in detail, focusing on any objects on the ground, surfaces, or environment. Note materials, conditions, and any signs of waste or cleanliness.

After your description, conclude with exactly one of these two lines:
DETECTED: <comma-separated types from this list: plastic bottle, glass, can, plastic bag, plastic wrapper, trash pile, trash>
CLEAN

Example responses:
The image shows a park path with several crushed plastic bottles and an aluminum can scattered on the grass near a bench.
DETECTED: plastic bottle, can

The image shows a clean sidewalk with no visible litter.
CLEAN","The image shows a concrete surface with various items scattered across it. There are plastic bottles, cans, plastic bags, and other miscellaneous debris. The area appears to be somewhat dirty, with graffiti on the walls and a trash pile in the foreground. The overall condition suggests neglect and lack of cleanliness.

DETECTED: plastic bottle, can, plastic bag, plastic wrapper, trash pile",True,"plastic bottle, can, plastic bag, plastic wrapper, trash pile, trash",5.824,7430.5
