question_id,image,cls,label,pred,response,inference_s,vram_mb
3495,far_distance_trash467.jpg,plastic bottle,no,timeout,TIMEOUT,20.014,0
3496,far_distance_trash467.jpg,plastic wrapper,no,timeout,TIMEOUT,20.01,0
3497,far_distance_trash47.jpg,trash,yes,timeout,TIMEOUT,20.007,0
3498,far_distance_trash47.jpg,can,no,timeout,TIMEOUT,20.01,0
3499,far_distance_trash47.jpg,trash pile,no,timeout,TIMEOUT,20.016,0
3500,far_distance_trash47.jpg,glass,no,no,No.,14.917,11624.9
3501,far_distance_trash47.jpg,plastic bag,no,no,No.,1.703,10407.5
3502,far_distance_trash47.jpg,plastic wrapper,no,no,No.,1.466,10377.4
3503,far_distance_trash47.jpg,plastic bottle,no,timeout,TIMEOUT,20.008,0
3504,far_distance_trash47.jpg,metal scrap,no,timeout,TIMEOUT,20.005,0
3505,far_distance_trash470.jpg,plastic bottle,yes,timeout,TIMEOUT,20.005,0
3506,far_distance_trash470.jpg,can,yes,timeout,TIMEOUT,20.012,0
3507,far_distance_trash470.jpg,plastic wrapper,yes,timeout,TIMEOUT,20.006,0
3508,far_distance_trash470.jpg,trash,yes,yes,Yes.,3.983,9081.2
3509,far_distance_trash470.jpg,metal scrap,no,yes,Yes.,0.424,7470.5
3510,far_distance_trash470.jpg,plastic bag,no,yes,Yes.,0.444,7470.5
3511,far_distance_trash470.jpg,trash pile,no,yes,Yes.,0.417,7470.5
3512,far_distance_trash470.jpg,glass,no,no,No.,0.409,7470.1
3513,far_distance_trash476.jpg,plastic wrapper,yes,yes,Yes.,0.328,7298.0
3514,far_distance_trash476.jpg,trash pile,no,yes,Yes.,0.324,7298.0
3515,far_distance_trash476.jpg,metal scrap,no,no,No.,0.289,7298.0
3516,far_distance_trash476.jpg,trash,no,yes,Yes.,0.276,7298.0
3517,far_distance_trash476.jpg,glass,no,no,No.,0.291,7298.0
3518,far_distance_trash476.jpg,plastic bag,no,yes,Yes.,0.329,7298.0
3519,far_distance_trash476.jpg,can,no,no,No.,0.317,7298.0
3520,far_distance_trash476.jpg,plastic bottle,no,no,No.,0.327,7298.0
3521,far_distance_trash477.jpg,plastic wrapper,yes,yes,Yes.,0.317,7298.0
3522,far_distance_trash477.jpg,trash,no,yes,Yes.,0.295,7298.0
3523,far_distance_trash477.jpg,plastic bottle,no,no,No.,0.309,7298.0
3524,far_distance_trash477.jpg,glass,no,no,No.,0.306,7298.0
3525,far_distance_trash477.jpg,metal scrap,no,no,No.,0.293,7298.0
3526,far_distance_trash477.jpg,trash pile,no,yes,Yes.,0.295,7298.0
3527,far_distance_trash477.jpg,plastic bag,no,yes,Yes.,0.302,7298.0
3528,far_distance_trash477.jpg,can,no,no,No.,0.289,7298.0
3529,far_distance_trash479.jpg,plastic bottle,yes,yes,yes,0.291,7298.0
3530,far_distance_trash479.jpg,glass,no,no,no,0.234,7298.0
3531,far_distance_trash479.jpg,metal scrap,no,no,no,0.223,7298.0
3532,far_distance_trash479.jpg,plastic bag,no,no,no,0.242,7298.0
3533,far_distance_trash479.jpg,can,no,no,no,0.237,7298.0
3534,far_distance_trash479.jpg,plastic wrapper,no,no,no,0.233,7298.0
3535,far_distance_trash479.jpg,trash,no,no,no,0.24,7298.0
3536,far_distance_trash479.jpg,trash pile,no,no,no,0.234,7298.0
3537,far_distance_trash480.jpg,plastic wrapper,yes,yes,yes,0.236,7298.0
3538,far_distance_trash480.jpg,trash pile,no,no,no,0.25,7298.0
3539,far_distance_trash480.jpg,trash,no,yes,yes,0.242,7298.0
3540,far_distance_trash480.jpg,can,no,no,no,0.237,7298.0
3541,far_distance_trash480.jpg,plastic bag,no,yes,yes,0.24,7298.0
3542,far_distance_trash480.jpg,metal scrap,no,yes,yes,0.23,7298.0
3543,far_distance_trash480.jpg,glass,no,no,no,0.282,7298.0
