question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,yes,0.201,13881.4
2,close_distance_trash191.jpg,polystyrene,no,no,0.146,13881.3
3,far_distance_trash18.jpg,metal,yes,yes,0.167,13875.4
4,marine_litter_427.jpg,polystyrene,yes,yes,0.152,13881.3
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,no,0.186,13875.9
6,marine_litter_340.jpg,polystyrene,yes,yes,0.15,13881.3
7,hn_anfi_harbour_view_23.jpg,container,no,no,0.195,13880.7
8,far_distance_trash236.jpg,container,no,no,0.163,13880.7
9,marine_litter_367.jpg,plastic,yes,yes,0.15,13875.9
10,marine_litter_25.jpg,metal,no,no,0.153,13875.4
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,no,0.182,13880.2
12,medium_distance_trash914.jpg,container,no,no,0.27,13880.7
13,medium_distance_trash484.jpg,metal,no,yes,0.158,13875.4
14,medium_distance_trash260.jpg,metal,yes,yes,0.147,13875.4
15,marine_litter_333.jpg,plastic,yes,yes,0.157,13875.9
16,medium_distance_trash673.jpg,trash,yes,yes,0.147,13880.2
17,far_distance_trash65.jpg,trash,yes,yes,0.147,13880.2
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.181,13875.9
19,hn_scene_1006_9.jpg,plastic,no,no,0.186,13875.9
20,close_distance_trash92.jpg,metal,no,no,0.159,13875.4
21,far_distance_trash245.jpg,metal,yes,yes,0.164,13875.4
22,medium_distance_trash6.jpg,trash,no,yes,0.15,13880.2
23,medium_distance_trash474.jpg,trash,no,yes,0.147,13880.2
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,0.201,13875.4
25,medium_distance_trash48.jpg,container,yes,yes,0.169,13880.7
26,marine_litter_428.jpg,polystyrene,yes,yes,0.187,13881.3
27,marine_litter_315.jpg,trash pile,no,no,0.156,13875.4
28,close_distance_trash45.jpg,trash,yes,yes,0.147,13880.2
29,medium_distance_trash898.jpg,metal,yes,yes,0.144,13875.4
30,close_distance_trash316.jpg,trash,no,yes,0.149,13880.2
31,medium_distance_trash658.jpg,plastic,yes,yes,0.163,13875.9
32,far_distance_trash36.jpg,trash,yes,yes,0.149,13880.2
33,medium_distance_trash667.jpg,trash,yes,no,0.148,13880.2
34,medium_distance_trash76.jpg,polystyrene,yes,no,0.15,13881.3
35,far_distance_trash74.jpg,container,no,yes,0.143,13880.7
36,close_distance_trash54.jpg,plastic,no,no,0.144,13875.9
37,marine_litter_155.jpg,plastic,yes,yes,0.149,13875.9
38,medium_distance_trash634.jpg,trash,yes,yes,0.147,13880.2
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,no,0.182,13875.4
40,hn_scene_1006_129.jpg,plastic,no,no,0.187,13875.9
41,close_distance_trash1240.jpg,trash,yes,no,0.177,13880.2
42,medium_distance_trash706.jpg,plastic,yes,yes,0.144,13875.9
43,far_distance_trash415.jpg,polystyrene,yes,yes,0.167,13881.3
44,medium_distance_trash110.jpg,container,yes,yes,0.148,13880.7
45,hn_radisson_isla_corazon_anfi_89.jpg,trash pile,no,no,0.174,13875.4
46,far_distance_trash68.jpg,plastic,yes,yes,0.15,13875.9
47,hn_radisson_isla_corazon_anfi_106.jpg,trash pile,no,no,0.177,13875.4
48,far_distance_trash344.jpg,container,yes,yes,0.167,13880.7
49,hn_radisson_isla_corazon_anfi_130.jpg,trash,no,no,0.174,13880.2
50,medium_distance_trash274.jpg,container,yes,yes,0.148,13880.7
51,marine_litter_363.jpg,plastic,yes,no,0.158,13875.9
52,medium_distance_trash192.jpg,container,yes,yes,0.144,13880.7
53,hn_anfi_harbour_view_25.jpg,polystyrene,no,no,0.181,13881.3
54,medium_distance_trash79.jpg,metal,yes,yes,0.149,13875.4
55,medium_distance_trash1038.jpg,plastic,yes,yes,0.221,13875.9
56,hn_cabo_torres_view_restinga_port_22.jpg,container,no,no,0.172,13880.7
57,medium_distance_trash77.jpg,plastic,yes,yes,0.148,13875.9
58,medium_distance_trash709.jpg,plastic,no,yes,0.14,13875.9
59,marine_litter_342.jpg,plastic,yes,yes,0.148,13875.9
60,close_distance_trash846.jpg,trash,yes,no,0.145,13880.2
61,medium_distance_trash47.jpg,container,yes,yes,0.147,13880.7
62,medium_distance_trash876.jpg,metal,no,yes,0.145,13875.4
63,far_distance_trash536.jpg,polystyrene,no,no,0.149,13881.3
64,medium_distance_trash240.jpg,container,yes,yes,0.149,13880.7
65,far_distance_trash106.jpg,polystyrene,no,no,0.146,13881.3
66,marine_litter_236.jpg,polystyrene,yes,yes,0.146,13881.3
67,close_distance_trash99.jpg,metal,no,no,0.148,13875.4
68,medium_distance_trash56.jpg,plastic,yes,yes,0.145,13875.9
69,hn_radisson_isla_corazon_anfi_113.jpg,plastic,no,no,0.213,13875.9
70,marine_litter_292.jpg,plastic,yes,yes,0.143,13875.9
71,marine_litter_310.jpg,metal,no,no,0.146,13875.4
72,marine_litter_367.jpg,container,yes,yes,0.151,13880.7
73,hn_cabo_torres_view_restinga_port_28.jpg,container,no,no,0.176,13880.7
74,hn_anfi_harbour_view_163.jpg,container,no,no,0.175,13880.7
75,close_distance_trash661.jpg,trash,yes,yes,0.236,13880.2
76,far_distance_trash340.jpg,plastic,no,yes,0.143,13875.9
77,medium_distance_trash892.jpg,trash pile,no,no,0.147,13875.4
78,medium_distance_trash467.jpg,trash,yes,no,0.148,13880.2
79,marine_litter_438.jpg,polystyrene,yes,yes,0.152,13881.3
80,medium_distance_trash629.jpg,plastic,yes,yes,0.148,13875.9
81,hn_anfi_harbour_view_24.jpg,polystyrene,no,no,0.182,13881.3
82,hn_anfi_isla_corazon_view_59.jpg,polystyrene,no,no,0.168,13881.3
83,far_distance_trash365.jpg,container,yes,no,0.146,13880.7
84,close_distance_trash1278.jpg,plastic,yes,yes,0.161,13875.9
85,marine_litter_168.jpg,container,yes,yes,0.156,13880.7
86,marine_litter_441.jpg,container,yes,yes,0.147,13880.7
87,medium_distance_trash491.jpg,trash,no,yes,0.164,13880.2
88,marine_litter_287.jpg,plastic,yes,yes,0.155,13875.9
89,marine_litter_264.jpg,container,no,yes,0.164,13880.7
90,close_distance_trash346.jpg,container,no,no,0.151,13880.7
91,medium_distance_trash69.jpg,metal,no,no,0.148,13875.4
92,marine_litter_406.jpg,plastic,yes,no,0.149,13875.9
93,hn_anfi_isla_corazon_view_77.jpg,container,no,no,0.181,13880.7
94,medium_distance_trash595.jpg,plastic,yes,yes,0.148,13875.9
95,medium_distance_trash217.jpg,plastic,yes,yes,0.169,13875.9
96,close_distance_trash623.jpg,trash,yes,no,0.166,13880.2
97,marine_litter_404.jpg,container,no,no,0.148,13880.7
98,hn_radisson_isla_corazon_anfi_46.jpg,container,no,no,0.187,13880.7
99,far_distance_trash42.jpg,trash,yes,yes,0.147,13880.2
100,medium_distance_trash910.jpg,trash,no,yes,0.26,13880.9
101,far_distance_trash7.jpg,plastic,yes,yes,0.162,13875.9
102,marine_litter_148.jpg,plastic,no,yes,0.15,13875.9
103,far_distance_trash296.jpg,plastic,yes,yes,0.148,13875.9
104,medium_distance_trash237.jpg,plastic,yes,yes,0.139,13875.9
105,hn_cabo_torres_view_harbour_entrance_71.jpg,polystyrene,no,no,0.183,13881.3
106,medium_distance_trash560.jpg,plastic,yes,yes,0.15,13875.9
107,close_distance_trash235.jpg,plastic,yes,yes,0.146,13875.9
108,hn_scene_1006_50.jpg,polystyrene,no,no,0.176,13881.3
109,hn_scene_1006_113.jpg,trash,no,no,0.208,13880.2
110,close_distance_trash1191.jpg,metal,yes,no,0.149,13875.4
111,close_distance_trash76.jpg,trash,no,no,0.141,13880.2
112,medium_distance_trash693.jpg,container,yes,yes,0.152,13880.7
113,hn_scene_1006_104.jpg,polystyrene,no,no,0.203,13881.3
114,close_distance_trash222.jpg,container,yes,no,0.15,13880.7
115,marine_litter_165.jpg,container,yes,yes,0.158,13880.7
116,hn_cabo_torres_view_harbour_entrance_14.jpg,plastic,no,no,0.193,13875.9
117,medium_distance_trash242.jpg,trash,yes,yes,0.179,13880.2
118,close_distance_trash1285.jpg,trash,no,no,0.163,13880.2
119,medium_distance_trash512.jpg,container,yes,yes,0.148,13880.7
120,close_distance_trash1235.jpg,container,yes,yes,0.151,13880.7
121,marine_litter_313.jpg,metal,no,no,0.145,13875.4
122,far_distance_trash486.jpg,plastic,yes,yes,0.148,13875.9
123,close_distance_trash1293.jpg,metal,yes,no,0.144,13875.4
124,medium_distance_trash686.jpg,metal,yes,yes,0.167,13875.4
125,hn_radisson_isla_corazon_anfi_86.jpg,metal,no,no,0.182,13875.4
126,far_distance_trash367.jpg,container,yes,no,0.15,13880.7
127,medium_distance_trash664.jpg,container,yes,yes,0.148,13880.7
128,medium_distance_trash834.jpg,metal,yes,no,0.145,13875.4
129,medium_distance_trash617.jpg,polystyrene,no,no,0.15,13881.3
130,hn_anfi_harbour_view_144.jpg,trash pile,no,no,0.186,13875.4
131,medium_distance_trash933.jpg,plastic,yes,yes,0.264,13875.9
132,medium_distance_trash430.jpg,trash pile,no,no,0.151,13875.4
133,hn_anfi_harbour_view_143.jpg,metal,no,no,0.182,13875.4
134,close_distance_trash1219.jpg,metal,yes,no,0.149,13875.4
135,hn_anfi_harbour_view_176.jpg,metal,no,no,0.182,13875.4
136,close_distance_trash1219.jpg,trash,no,no,0.179,13880.2
137,medium_distance_trash125.jpg,trash pile,no,no,0.159,13875.4
138,far_distance_trash462.jpg,container,yes,no,0.206,13880.7
