question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.376,1659.9
2,close_distance_trash10.jpg,trash pile,yes,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.032,1659.9
3,close_distance_trash10.jpg,trash,yes,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.025,1659.9
4,close_distance_trash10.jpg,plastic bag,no,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.025,1659.9
5,close_distance_trash10.jpg,glass,no,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.039,1659.9
6,close_distance_trash10.jpg,can,no,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.034,1659.9
7,close_distance_trash10.jpg,metal scrap,no,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.041,1659.9
8,close_distance_trash10.jpg,plastic bottle,no,no,"no garbage, clean environment: 0.75 | trash pile: 0.09 | plastic bottle: 0.07 | plastic bag: 0.05 | trash: 0.02 | can: 0.00 | plastic wrapper: 0.00 | metal scrap: 0.00 | glass: 0.00",0.039,1659.9
9,close_distance_trash1006.jpg,plastic bag,yes,yes,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.052,1659.9
10,close_distance_trash1006.jpg,trash pile,yes,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.056,1659.9
11,close_distance_trash1006.jpg,metal scrap,no,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.051,1659.9
12,close_distance_trash1006.jpg,plastic bottle,no,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.05,1659.9
13,close_distance_trash1006.jpg,can,no,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.043,1659.9
14,close_distance_trash1006.jpg,plastic wrapper,no,no,"plastic bag: 0.87 | plastic bottle: 0.09 | plastic wrapper: 0.03 | no garbage, clean environment: 0.01 | trash pile: 0.00 | trash: 0.00 | can: 0.00 | metal scrap: 0.00 | glass: 0.00",0.043,1659.9
